alerta_id,branch_id,product_id,stock_actual,stock_minimo,fecha_actualizacion,fecha_alerta,prioridad,provider_id,provider_name
AL-00001,BR-00001,P-000007,4,5,2025-08-20,2025-08-29,Baja,PR-00044,Hnos Nebot S.L.N.E
AL-00002,BR-00001,P-000026,13,16,2025-06-03,2025-08-29,Baja,PR-00033,Despacho LDRM S.A.
AL-00003,BR-00001,P-000038,19,20,2025-06-17,2025-08-29,Baja,PR-01456,Comercial RN S.A.
AL-00004,BR-00001,P-000056,9,9,2025-05-21,2025-08-29,Baja,PR-00699,Cano y asociados S.L.
AL-00005,BR-00001,P-000063,1,20,2025-08-28,2025-08-29,Media,PR-00738,Suministros Heredia S.L.
AL-00006,BR-00001,P-000064,5,19,2025-08-06,2025-08-29,Media,PR-00738,Suministros Heredia S.L.
AL-00007,BR-00001,P-000065,9,15,2025-07-19,2025-08-29,Baja,PR-00749,Hnos Cañas S.A.
AL-00008,BR-00001,P-000073,0,10,2025-08-20,2025-08-29,Alta,PR-01156,Despacho Españolas S.Com.
AL-00009,BR-00001,P-000074,15,15,2025-06-01,2025-08-29,Baja,PR-01245,Suministros Arenas S.L.
AL-00010,BR-00001,P-000098,9,9,2025-07-22,2025-08-29,Baja,PR-00794,Construcción NZMQ S.L.N.E
AL-00011,BR-00001,P-000100,1,12,2025-07-04,2025-08-29,Media,PR-01152,Casado y asociados S.L.
AL-00012,BR-00001,P-000104,3,6,2025-08-06,2025-08-29,Baja,PR-00627,Infraestructuras WXJ S.L.
AL-00013,BR-00001,P-000114,7,10,2025-04-29,2025-08-29,Baja,PR-00041,Familia Vaquero S.Coop.
AL-00014,BR-00001,P-000115,2,16,2025-08-09,2025-08-29,Media,PR-00041,Familia Vaquero S.Coop.
AL-00015,BR-00001,P-000120,15,17,2025-08-28,2025-08-29,Baja,PR-00871,Orozco y Cardona S.A.
AL-00016,BR-00001,P-000125,3,8,2025-08-12,2025-08-29,Media,PR-00024,Manufacturas DVS S.A.
AL-00017,BR-00001,P-000137,5,15,2025-06-14,2025-08-29,Media,PR-01394,Transportes HKAN S.Com.
AL-00018,BR-00001,P-000152,7,8,2025-08-05,2025-08-29,Baja,PR-00020,Goñi & Asociados S.L.L.
AL-00019,BR-00001,P-000164,9,19,2025-05-22,2025-08-29,Media,PR-00002,Construcción Inteligentes S.C.P
AL-00020,BR-00001,P-000170,13,20,2025-06-27,2025-08-29,Baja,PR-00004,Logística Pazos S.A.
AL-00021,BR-00001,P-000172,3,20,2025-06-18,2025-08-29,Media,PR-00005,Soluciones Torre S.Coop.
AL-00022,BR-00001,P-000173,10,17,2025-07-25,2025-08-29,Baja,PR-00005,Soluciones Torre S.Coop.
AL-00023,BR-00001,P-000176,14,15,2025-06-16,2025-08-29,Baja,PR-00005,Soluciones Torre S.Coop.
AL-00024,BR-00001,P-000183,0,18,2025-07-16,2025-08-29,Alta,PR-01367,Compañía del Norte S.L.
AL-00025,BR-00001,P-000197,1,18,2025-04-21,2025-08-29,Media,PR-01239,Roura y asociados S.Coop.
AL-00026,BR-00001,P-000198,8,18,2025-08-26,2025-08-29,Media,PR-00025,Rosa María Verdejo Rozas S.L.N.E
AL-00027,BR-00001,P-000206,15,18,2025-07-27,2025-08-29,Baja,PR-00026,Banca Privada Nogués & Asociados S.Coop.
AL-00028,BR-00001,P-000209,8,9,2025-07-05,2025-08-29,Baja,PR-00628,Sanmiguel y Escrivá S.Coop.
AL-00029,BR-00001,P-000212,6,6,2025-07-16,2025-08-29,Baja,PR-00028,Alimentación Internacionales S.A.
AL-00030,BR-00001,P-000217,11,20,2025-06-27,2025-08-29,Baja,PR-01197,Zaragoza & Asociados S.Coop.
AL-00031,BR-00001,P-000222,11,16,2025-08-08,2025-08-29,Baja,PR-01197,Zaragoza & Asociados S.Coop.
AL-00032,BR-00001,P-000233,1,8,2025-05-25,2025-08-29,Media,PR-00904,Soluciones SS S.A.
AL-00033,BR-00002,P-000244,10,15,2025-07-28,2025-08-29,Baja,PR-00972,Finanzas Valcárcel & Asociados S.Coop.
AL-00034,BR-00002,P-000260,18,20,2025-06-29,2025-08-29,Baja,PR-00047,Logística Bermudez S.L.
AL-00035,BR-00002,P-000264,19,20,2025-07-01,2025-08-29,Baja,PR-00880,Evelia Madrid Pardo S.A.
AL-00036,BR-00002,P-000268,17,18,2025-05-20,2025-08-29,Baja,PR-00034,Blanes y Cañizares S.A.
AL-00037,BR-00002,P-000271,9,19,2025-07-18,2025-08-29,Media,PR-01042,Hnos Moll S.Coop.
AL-00038,BR-00002,P-000277,3,19,2025-07-27,2025-08-29,Media,PR-00035,Banca Privada Salvador S.Com.
AL-00039,BR-00002,P-000284,9,17,2025-05-08,2025-08-29,Baja,PR-01456,Comercial RN S.A.
AL-00040,BR-00002,P-000296,5,5,2025-04-13,2025-08-29,Baja,PR-00956,Desarrollo Integrales S.L.
AL-00041,BR-00002,P-000306,3,17,2025-06-20,2025-08-29,Media,PR-00943,Grupo Fernández S.L.
AL-00042,BR-00002,P-000309,8,10,2025-07-22,2025-08-29,Baja,PR-01119,Familia Roldan S.L.
AL-00043,BR-00002,P-000313,6,18,2025-06-17,2025-08-29,Media,PR-01156,Despacho Españolas S.Com.
AL-00044,BR-00002,P-000319,5,9,2025-05-20,2025-08-29,Baja,PR-00012,Grupo Mascaró S.Coop.
AL-00045,BR-00002,P-000321,19,19,2025-07-19,2025-08-29,Baja,PR-00012,Grupo Mascaró S.Coop.
AL-00046,BR-00002,P-000329,7,19,2025-05-25,2025-08-29,Media,PR-00013,Industrias del Noroeste S.L.N.E
AL-00047,BR-00002,P-000332,11,13,2025-07-17,2025-08-29,Baja,PR-01459,Construcción Pallarès S.Com.
AL-00048,BR-00002,P-000333,6,19,2025-08-04,2025-08-29,Media,PR-00014,Linares y Macías S.L.L.
AL-00049,BR-00002,P-000337,7,7,2025-05-08,2025-08-29,Baja,PR-00683,Comercializadora DOH S.A.
AL-00050,BR-00002,P-000338,2,20,2025-06-18,2025-08-29,Media,PR-00015,Plinio Paniagua Folch S.L.
AL-00051,BR-00002,P-000347,0,19,2025-08-14,2025-08-29,Alta,PR-00627,Infraestructuras WXJ S.L.
AL-00052,BR-00002,P-000353,3,14,2025-06-26,2025-08-29,Media,PR-01432,Familia Garzón S.L.
AL-00053,BR-00002,P-000363,9,20,2025-06-22,2025-08-29,Media,PR-00041,Familia Vaquero S.Coop.
AL-00054,BR-00002,P-000371,16,16,2025-06-12,2025-08-29,Baja,PR-00042,Compañía Moya y asociados S.Coop.
AL-00055,BR-00002,P-000373,1,6,2025-08-10,2025-08-29,Media,PR-00016,Manufacturas Palacios S.L.
AL-00056,BR-00002,P-000377,7,13,2025-08-10,2025-08-29,Baja,PR-01350,Luciana Álvarez Belmonte S.A.
AL-00057,BR-00002,P-000380,12,12,2025-08-06,2025-08-29,Baja,PR-01261,Virgilio Prieto Marti S.L.N.E
AL-00058,BR-00002,P-000382,5,15,2025-08-19,2025-08-29,Media,PR-00018,Servicios Flor & Asociados S.L.U.
AL-00059,BR-00002,P-000386,12,16,2025-07-04,2025-08-29,Baja,PR-00648,Josefa Rodriguez Machado S.A.T.
AL-00060,BR-00002,P-000394,9,10,2025-05-18,2025-08-29,Baja,PR-01101,Corominas & Asociados S.L.
AL-00061,BR-00002,P-000395,4,15,2025-07-02,2025-08-29,Media,PR-01024,Hotel Pablo y asociados S.A.
AL-00062,BR-00002,P-000403,2,16,2025-08-15,2025-08-29,Media,PR-00002,Construcción Inteligentes S.C.P
AL-00063,BR-00002,P-000412,11,14,2025-05-05,2025-08-29,Baja,PR-00004,Logística Pazos S.A.
AL-00064,BR-00002,P-000413,12,18,2025-08-20,2025-08-29,Baja,PR-01236,Promociones Cepeda S.L.U.
AL-00065,BR-00002,P-000416,10,14,2025-07-07,2025-08-29,Baja,PR-00005,Soluciones Torre S.Coop.
