cobro_id,venta_id,fecha_cobro,monto_total,metodo_pago,estado_pago
PG-00001,C-000001,2025-08-15,1020.59,Transferencia,Completado
PG-00002,C-000002,2025-07-21,357.1,Bizum,Pendiente
PG-00003,C-000003,2025-07-18,613.3,Transferencia,Completado
PG-00004,C-000004,2025-07-13,1258.55,Tarjeta,Completado
PG-00005,C-000005,2025-08-11,517.21,Bizum,Completado
PG-00006,C-000006,2025-07-16,529.55,Transferencia,Completado
PG-00007,C-000007,2025-06-01,418.48,Efectivo,Completado
PG-00008,C-000008,2025-07-09,118.32,Tarjeta,Pendiente
PG-00009,C-000009,2025-06-02,423.91,Tarjeta,Completado
PG-00010,C-000010,2025-07-17,1290.68,Transferencia,Completado
PG-00011,C-000011,2025-07-27,940.8,Transferencia,Completado
PG-00012,C-000012,2025-07-10,429.74,Transferencia,Completado
PG-00013,C-000013,2025-07-30,1005.87,Efectivo,Completado
PG-00014,C-000014,2025-07-20,127.93,Transferencia,Completado
PG-00015,C-000015,2025-06-13,1135.8,Tarjeta,Completado
PG-00016,C-000016,2025-06-21,504.81,PayPal,Completado
PG-00017,C-000017,2025-08-27,536.02,Transferencia,Completado
PG-00018,C-000018,2025-06-11,1091.3,Tarjeta,Completado
PG-00019,C-000019,2025-06-13,518.53,Transferencia,Completado
PG-00020,C-000020,2025-06-23,720.45,Amazon Pay,Pendiente
PG-00021,C-000021,2025-06-12,150.66,Transferencia,Completado
PG-00022,C-000022,2025-06-20,1142.97,PayPal,Completado
PG-00023,C-000023,2025-08-01,139.5,Amazon Pay,Completado
PG-00024,C-000024,2025-08-03,438.65,Bizum,Completado
PG-00025,C-000025,2025-07-10,1721.77,Transferencia,Completado
PG-00026,C-000026,2025-07-18,718.23,Tarjeta,Completado
PG-00027,C-000027,2025-07-03,1106.18,Bizum,Completado
PG-00028,C-000028,2025-08-30,1234.92,Amazon Pay,Completado
PG-00029,C-000029,2025-06-17,532.2,Transferencia,Completado
PG-00030,C-000030,2025-07-19,447.86,Bizum,Completado
PG-00031,C-000031,2025-07-24,1021.34,Tarjeta,Completado
PG-00032,C-000032,2025-07-12,158.45,PayPal,Fallido
PG-00033,C-000033,2025-06-30,391.48,Transferencia,Completado
PG-00034,C-000034,2025-06-26,261.16,Efectivo,Fallido
