order_proveedor_id,branch_id,product_id,provider_id,provider_name,fecha_orden,cantidad,precio_unitario,total,estado
O-000001,BR-00001,P-000007,PR-00044,Hnos Nebot S.L.N.E,2025-08-24,46,2.55,117.3,Recibido
O-000002,BR-00001,P-000026,PR-00033,Despacho LDRM S.A.,2025-08-27,40,53.43,2137.2,Pendiente
O-000003,BR-00001,P-000038,PR-01456,Comercial RN S.A.,2025-08-19,26,36.85,958.1,Recibido
O-000004,BR-00001,P-000056,PR-00699,Cano y asociados S.L.,2025-07-04,30,24.68,740.4,Pendiente
O-000005,BR-00001,P-000063,PR-00738,Suministros Heredia S.L.,2025-08-09,20,88.21,1764.2,Recibido
O-000006,BR-00001,P-000064,PR-00738,Suministros Heredia S.L.,2025-08-11,80,111.41,8912.8,En tránsito
O-000007,BR-00001,P-000065,PR-00749,Hnos Cañas S.A.,2025-07-20,60,71.05,4263.0,En tránsito
O-000008,BR-00001,P-000073,PR-01156,Despacho Españolas S.Com.,2025-07-14,55,67.1,3690.5,Pendiente
O-000009,BR-00001,P-000074,PR-01245,Suministros Arenas S.L.,2025-07-19,76,38.31,2911.56,En tránsito
O-000010,BR-00001,P-000098,PR-00794,Construcción NZMQ S.L.N.E,2025-08-21,92,78.87,7256.04,Recibido
O-000011,BR-00001,P-000100,PR-01152,Casado y asociados S.L.,2025-08-01,22,74.43,1637.46,Pendiente
O-000012,BR-00001,P-000104,PR-00627,Infraestructuras WXJ S.L.,2025-07-12,31,25.3,784.3,Pendiente
O-000013,BR-00001,P-000114,PR-00041,Familia Vaquero S.Coop.,2025-08-25,42,32.45,1362.9,Pendiente
O-000014,BR-00001,P-000115,PR-00041,Familia Vaquero S.Coop.,2025-08-15,92,15.83,1456.36,Recibido
O-000015,BR-00001,P-000120,PR-00871,Orozco y Cardona S.A.,2025-07-21,54,64.34,3474.36,Pendiente
O-000016,BR-00001,P-000125,PR-00024,Manufacturas DVS S.A.,2025-07-28,20,128.99,2579.8,En tránsito
O-000017,BR-00001,P-000137,PR-01394,Transportes HKAN S.Com.,2025-07-30,41,68.1,2792.1,Recibido
O-000018,BR-00001,P-000152,PR-00020,Goñi & Asociados S.L.L.,2025-06-30,20,130.82,2616.4,Pendiente
O-000019,BR-00001,P-000164,PR-00002,Construcción Inteligentes S.C.P,2025-07-03,46,98.32,4522.72,Pendiente
O-000020,BR-00001,P-000170,PR-00004,Logística Pazos S.A.,2025-07-17,39,124.14,4841.46,Pendiente
O-000021,BR-00001,P-000172,PR-00005,Soluciones Torre S.Coop.,2025-07-28,85,130.77,11115.45,Recibido
O-000022,BR-00001,P-000173,PR-00005,Soluciones Torre S.Coop.,2025-07-04,71,47.9,3400.9,En tránsito
O-000023,BR-00001,P-000176,PR-00005,Soluciones Torre S.Coop.,2025-07-16,85,27.64,2349.4,Pendiente
O-000024,BR-00001,P-000183,PR-01367,Compañía del Norte S.L.,2025-08-16,51,84.55,4312.05,Pendiente
O-000025,BR-00001,P-000197,PR-01239,Roura y asociados S.Coop.,2025-08-28,54,102.42,5530.68,Pendiente
O-000026,BR-00001,P-000198,PR-00025,Rosa María Verdejo Rozas S.L.N.E,2025-08-10,71,35.71,2535.41,Pendiente
O-000027,BR-00001,P-000206,PR-00026,Banca Privada Nogués & Asociados S.Coop.,2025-07-09,20,142.79,2855.8,Recibido
O-000028,BR-00001,P-000209,PR-00628,Sanmiguel y Escrivá S.Coop.,2025-08-26,67,116.89,7831.63,Pendiente
O-000029,BR-00001,P-000212,PR-00028,Alimentación Internacionales S.A.,2025-07-09,55,35.44,1949.2,En tránsito
O-000030,BR-00001,P-000217,PR-01197,Zaragoza & Asociados S.Coop.,2025-07-15,95,105.17,9991.15,En tránsito
O-000031,BR-00001,P-000222,PR-01197,Zaragoza & Asociados S.Coop.,2025-08-17,30,24.74,742.2,Recibido
O-000032,BR-00001,P-000233,PR-00904,Soluciones SS S.A.,2025-08-02,76,63.04,4791.04,Pendiente
O-000033,BR-00002,P-000244,PR-00972,Finanzas Valcárcel & Asociados S.Coop.,2025-08-01,51,55.64,2837.64,Recibido
O-000034,BR-00002,P-000260,PR-00047,Logística Bermudez S.L.,2025-07-25,55,24.31,1337.05,Recibido
O-000035,BR-00002,P-000264,PR-00880,Evelia Madrid Pardo S.A.,2025-08-21,81,94.91,7687.71,En tránsito
O-000036,BR-00002,P-000268,PR-00034,Blanes y Cañizares S.A.,2025-07-15,34,104.83,3564.22,Recibido
O-000037,BR-00002,P-000271,PR-01042,Hnos Moll S.Coop.,2025-07-08,53,147.67,7826.51,Pendiente
O-000038,BR-00002,P-000277,PR-00035,Banca Privada Salvador S.Com.,2025-08-06,43,9.89,425.27,En tránsito
