purchase_id,product_id,cantidad,precio_unitario,subtotal
C-000001,P-018330,1,100.16,100.16
C-000001,P-004381,5,35.22,176.1
C-000001,P-003289,5,18.73,93.65
C-000001,P-014444,5,63.78,318.9
C-000001,P-001465,4,60.23,240.92
C-000002,P-014118,2,49.79,99.58
C-000002,P-005115,5,147.1,735.5
C-000002,P-018060,2,123.71,247.42
C-000003,P-008405,5,62.85,314.25
C-000003,P-007326,5,82.97,414.85
C-000004,P-015412,4,104.52,418.08
C-000005,P-044886,3,108.76,326.28
C-000005,P-000084,1,109.83,109.83
C-000005,P-015502,2,52.94,105.88
C-000005,P-022926,1,32.77,32.77
C-000006,P-021273,1,100.92,100.92
C-000006,P-053888,4,13.19,52.76
C-000007,P-048972,3,57.9,173.7
C-000007,P-053663,2,42.55,85.1
C-000007,P-024929,3,98.87,296.61
C-000007,P-019618,2,79.39,158.78
C-000008,P-029422,4,5.8,23.2
C-000008,P-023061,5,65.68,328.4
C-000008,P-027510,5,138.98,694.9
C-000008,P-026419,2,115.93,231.86
C-000008,P-034549,3,137.6,412.8
C-000009,P-005605,5,41.26,206.3
C-000009,P-050344,4,83.5,334.0
C-000009,P-033689,5,32.78,163.9
C-000009,P-052417,4,124.39,497.56
C-000010,P-045658,3,61.42,184.26
C-000010,P-000265,5,101.69,508.45
C-000010,P-007968,5,112.15,560.75
C-000010,P-017298,2,17.68,35.36
C-000011,P-047479,1,127.55,127.55
C-000011,P-025230,3,94.23,282.69
C-000011,P-009677,4,108.66,434.64
C-000012,P-032664,2,45.35,90.7
C-000012,P-047925,5,111.95,559.75
C-000013,P-028474,5,113.05,565.25
C-000013,P-046736,5,101.16,505.8
C-000013,P-027251,5,64.67,323.35
C-000013,P-018213,4,139.09,556.36
C-000014,P-032367,3,59.33,177.99
C-000014,P-012062,4,110.62,442.48
C-000015,P-014506,5,19.81,99.05
C-000016,P-024637,1,144.26,144.26
C-000016,P-015275,5,14.96,74.8
C-000016,P-049063,2,124.04,248.08
C-000017,P-050153,5,115.18,575.9
C-000017,P-048069,5,63.23,316.15
C-000017,P-014614,2,60.41,120.82
C-000017,P-036163,3,87.58,262.74
C-000018,P-034208,2,51.81,103.62
C-000019,P-043659,1,2.21,2.21
C-000019,P-051815,5,112.79,563.95
C-000019,P-037748,4,86.82,347.28
C-000020,P-046764,3,50.64,151.92
C-000020,P-018652,3,21.13,63.39
C-000020,P-017550,2,38.25,76.5
C-000021,P-040306,3,50.35,151.05
C-000021,P-043955,1,89.59,89.59
C-000021,P-020189,1,68.43,68.43
C-000021,P-009360,3,80.14,240.42
C-000021,P-023466,5,28.3,141.5
C-000022,P-028155,2,55.32,110.64
C-000022,P-043685,2,67.65,135.3
C-000022,P-019466,4,84.93,339.72
C-000023,P-046202,2,46.42,92.84
C-000023,P-021513,3,105.23,315.69
C-000024,P-000158,1,149.87,149.87
C-000025,P-042956,3,73.62,220.86
C-000025,P-000232,1,3.3,3.3
C-000025,P-026609,3,100.74,302.22
C-000025,P-045723,2,90.39,180.78
C-000026,P-027434,4,79.89,319.56
C-000027,P-022202,2,119.14,238.28
C-000027,P-024720,2,107.0,214.0
C-000027,P-047412,4,96.25,385.0
C-000028,P-035762,4,46.65,186.6
C-000028,P-008420,4,56.16,224.64
C-000028,P-020124,4,25.34,101.36
C-000028,P-007720,1,63.49,63.49
C-000028,P-017098,2,53.79,107.58
C-000029,P-018985,1,97.59,97.59
C-000029,P-053461,2,153.96,307.92
C-000030,P-023659,3,10.24,30.72
C-000030,P-046918,2,164.11,328.22
C-000031,P-048230,2,134.16,268.32
C-000031,P-023584,2,36.49,72.98
C-000031,P-019906,3,42.52,127.56
C-000032,P-016854,2,140.45,280.9
C-000033,P-042043,2,33.69,67.38
C-000033,P-029279,1,34.91,34.91
C-000033,P-009064,3,139.64,418.92
C-000034,P-043846,2,63.41,126.82
C-000034,P-038770,4,4.26,17.04
C-000034,P-009950,1,137.53,137.53
C-000035,P-008142,3,164.55,493.65
C-000035,P-024129,5,36.07,180.35
C-000035,P-002967,3,145.53,436.59
C-000036,P-029867,3,61.68,185.04
C-000036,P-038639,1,73.75,73.75
C-000036,P-031900,1,106.32,106.32
C-000037,P-025858,3,128.47,385.41
C-000038,P-029841,2,65.2,130.4
C-000038,P-026115,4,62.46,249.84
C-000038,P-004351,5,111.21,556.05
C-000038,P-020776,2,17.34,34.68
C-000039,P-030159,3,104.4,313.2
C-000039,P-051888,4,75.22,300.88
C-000040,P-012506,2,97.13,194.26
C-000040,P-032878,3,6.66,19.98
C-000040,P-019545,1,123.66,123.66
C-000040,P-003878,5,108.35,541.75
C-000041,P-019380,3,35.56,106.68
C-000041,P-031866,4,108.13,432.52
C-000041,P-047716,2,64.6,129.2
C-000041,P-009320,3,111.22,333.66
C-000042,P-039135,4,96.89,387.56
C-000042,P-023349,2,46.32,92.64
C-000043,P-010244,3,130.15,390.45
C-000043,P-016877,3,71.77,215.31
C-000043,P-015347,2,41.0,82.0
C-000043,P-022222,3,93.54,280.62
C-000044,P-034861,2,21.84,43.68
C-000044,P-052220,3,118.35,355.05
C-000045,P-032453,3,95.49,286.47
C-000045,P-038257,1,32.39,32.39
C-000045,P-038346,2,148.56,297.12
C-000045,P-036126,2,145.83,291.66
C-000046,P-001997,1,143.18,143.18
C-000046,P-003831,1,127.8,127.8
C-000046,P-020329,3,6.4,19.2
C-000046,P-006644,1,122.6,122.6
C-000047,P-014677,2,111.98,223.96
C-000048,P-027772,1,26.48,26.48
C-000049,P-009658,3,19.11,57.33
C-000049,P-045136,4,87.51,350.04
C-000049,P-042142,4,39.24,156.96
C-000049,P-051753,4,5.66,22.64
C-000049,P-017887,1,94.78,94.78
C-000050,P-011817,5,31.4,157.0
C-000050,P-047289,4,122.72,490.88
C-000050,P-030511,3,20.64,61.92
C-000050,P-009325,2,143.38,286.76
C-000051,P-042489,4,76.4,305.6
C-000051,P-005593,3,61.94,185.82
C-000051,P-008836,4,89.96,359.84
C-000052,P-015561,3,17.76,53.28
C-000053,P-015248,5,96.04,480.2
C-000053,P-052372,2,136.08,272.16
C-000053,P-039723,4,58.6,234.4
C-000053,P-012394,5,120.63,603.15
C-000054,P-048746,4,38.08,152.32
C-000054,P-019501,5,58.0,290.0
C-000054,P-013542,2,73.68,147.36
C-000055,P-030904,4,115.71,462.84
C-000055,P-012415,2,19.75,39.5
C-000055,P-050523,5,98.14,490.7
C-000055,P-052548,3,21.64,64.92
C-000056,P-032359,2,20.98,41.96
C-000056,P-035953,1,4.09,4.09
C-000056,P-027351,2,7.99,15.98
C-000056,P-030797,3,119.88,359.64
C-000056,P-040832,2,127.37,254.74
C-000057,P-039545,1,164.01,164.01
C-000058,P-045313,1,103.59,103.59
C-000058,P-009037,4,5.41,21.64
C-000059,P-027862,2,109.5,219.0
C-000059,P-020307,3,138.88,416.64
C-000059,P-028060,4,120.38,481.52
C-000059,P-043764,4,24.19,96.76
C-000059,P-021723,2,114.34,228.68
C-000060,P-047104,4,31.97,127.88
C-000060,P-015022,1,34.34,34.34
C-000061,P-014309,3,74.43,223.29
C-000061,P-052792,5,33.74,168.7
C-000062,P-027352,3,76.87,230.61
C-000062,P-037210,5,53.26,266.3
C-000063,P-042732,5,10.82,54.1
C-000063,P-040201,3,10.52,31.56
C-000063,P-044786,3,22.35,67.05
C-000064,P-010537,1,109.1,109.1
C-000064,P-033323,2,67.11,134.22
C-000064,P-053509,2,109.85,219.7
C-000065,P-049218,5,73.09,365.45
C-000065,P-041529,5,40.22,201.1
C-000065,P-049433,5,20.77,103.85
C-000065,P-022273,1,19.24,19.24
C-000066,P-013184,3,27.02,81.06
C-000066,P-049800,4,48.71,194.84
C-000066,P-006553,1,50.91,50.91
C-000066,P-003796,4,98.19,392.76
C-000066,P-037050,4,145.28,581.12
C-000067,P-012384,3,110.26,330.78
C-000068,P-014432,3,7.93,23.79
C-000068,P-005300,1,117.92,117.92
C-000068,P-029366,3,50.4,151.2
C-000068,P-047937,1,18.46,18.46
C-000069,P-038470,5,144.31,721.55
C-000069,P-052997,5,117.64,588.2
C-000069,P-007503,2,113.72,227.44
C-000069,P-023425,2,134.55,269.1
C-000069,P-019693,2,67.02,134.04
C-000070,P-034480,3,97.11,291.33
C-000070,P-043020,5,126.21,631.05
C-000070,P-035314,2,112.43,224.86
C-000070,P-052423,1,35.91,35.91
C-000070,P-051576,4,101.8,407.2
C-000071,P-028194,3,32.87,98.61
C-000072,P-002421,4,57.56,230.24
C-000072,P-024378,3,93.09,279.27
C-000073,P-027082,1,17.48,17.48
C-000074,P-052419,5,54.23,271.15
C-000074,P-024579,5,3.61,18.05
C-000075,P-013611,1,81.41,81.41
C-000075,P-036763,5,134.37,671.85
C-000075,P-048043,1,113.8,113.8
C-000075,P-043505,5,7.1,35.5
C-000075,P-015519,1,110.17,110.17
C-000076,P-003532,2,26.66,53.32
C-000077,P-019692,2,18.5,37.0
C-000077,P-019314,5,97.0,485.0
C-000077,P-005178,1,83.65,83.65
C-000077,P-051098,4,71.72,286.88
C-000078,P-002229,5,65.0,325.0
C-000078,P-003774,1,78.06,78.06
C-000078,P-030141,2,48.21,96.42
C-000079,P-035247,5,32.98,164.9
C-000080,P-010574,1,75.59,75.59
C-000081,P-030391,2,35.81,71.62
C-000081,P-042676,5,72.72,363.6
C-000081,P-027974,2,93.18,186.36
C-000081,P-038514,1,79.45,79.45
C-000081,P-035018,1,41.09,41.09
C-000082,P-046264,2,50.97,101.94
C-000082,P-044185,4,141.09,564.36
C-000082,P-019752,4,60.5,242.0
C-000082,P-018550,1,14.98,14.98
C-000083,P-021054,3,114.61,343.83
C-000083,P-003937,1,93.81,93.81
C-000084,P-036767,5,15.19,75.95
C-000085,P-017967,3,19.62,58.86
C-000085,P-053169,4,56.38,225.52
C-000085,P-003043,1,77.43,77.43
C-000085,P-004483,4,63.32,253.28
C-000085,P-029902,4,5.63,22.52
C-000086,P-013223,1,24.14,24.14
C-000087,P-004883,4,53.38,213.52
C-000088,P-032697,1,159.91,159.91
C-000089,P-034592,3,139.08,417.24
C-000090,P-031270,1,14.98,14.98
C-000091,P-026126,3,6.16,18.48
C-000092,P-000390,1,73.59,73.59
C-000092,P-035692,3,57.96,173.88
C-000093,P-001978,3,84.01,252.03
C-000093,P-008284,1,10.4,10.4
C-000094,P-028891,3,106.22,318.66
C-000094,P-034496,2,25.72,51.44
C-000094,P-011292,3,81.36,244.08
C-000095,P-035528,2,118.01,236.02
C-000095,P-022924,4,15.63,62.52
C-000096,P-009879,2,89.39,178.78
C-000096,P-015384,4,115.26,461.04
C-000096,P-012567,1,110.6,110.6
C-000097,P-043381,4,39.49,157.96
C-000098,P-034533,2,31.67,63.34
C-000098,P-053786,2,18.25,36.5
C-000098,P-042581,4,106.51,426.04
C-000099,P-003418,2,58.6,117.2
C-000099,P-003793,3,119.39,358.17
C-000099,P-001766,1,128.66,128.66
C-000099,P-044342,3,113.25,339.75
C-000100,P-011976,1,63.89,63.89
C-000101,P-041267,5,13.91,69.55
C-000102,P-053352,4,66.91,267.64
C-000103,P-008053,5,38.46,192.3
C-000103,P-013428,3,13.56,40.68
C-000103,P-006104,2,64.63,129.26
C-000104,P-035938,2,139.28,278.56
C-000104,P-004772,4,131.16,524.64
C-000105,P-044698,2,101.48,202.96
C-000105,P-032945,3,164.51,493.53
C-000105,P-005837,5,150.41,752.05
C-000106,P-041858,4,4.23,16.92
C-000106,P-005636,2,63.55,127.1
C-000107,P-052524,1,73.84,73.84
C-000107,P-041597,1,105.93,105.93
C-000108,P-040085,2,34.12,68.24
C-000108,P-012464,2,70.86,141.72
C-000108,P-006500,4,10.43,41.72
