devolucion_id,venta_id,client_id,entrega_id,product_id,provider_id,branch_id,employee_id,fecha_devolucion,motivo,estado
DV-00001,C-000029,CL-07458,ET-00029,P-018985,PR-00200,BR-00488,E-012809,2025-02-26,Recibí otro artículo,Procesada
DV-00002,C-001314,CL-05220,ET-01314,P-014301,PR-00154,BR-00277,E-007556,2025-02-28,No funciona correctamente,Rechazada
DV-00003,C-002441,CL-02169,ET-02441,P-037804,PR-01484,BR-00154,E-004171,2025-06-05,Cambio de opinión,Pendiente
DV-00004,C-001476,CL-08837,ET-01476,P-024206,PR-01116,BR-00457,E-011888,2025-05-23,Problema con el embalaje,Procesada
DV-00005,C-001477,CL-05042,ET-01477,P-044405,PR-00877,BR-00310,E-008352,2025-08-02,Producto defectuoso,Rechazada
DV-00006,C-002265,CL-09223,ET-02265,P-046835,PR-00564,BR-00241,E-006616,2025-03-18,Error en el pedido,Rechazada
DV-00007,C-000421,CL-04784,ET-00421,P-013246,PR-00149,BR-00118,E-003287,2025-04-03,Cambio de opinión,Pendiente
DV-00008,C-000640,CL-06990,ET-00640,P-038537,PR-00433,BR-00349,E-009363,2025-07-30,Cliente no lo reconoce,Rechazada
DV-00009,C-002886,CL-07035,ET-02886,P-050557,PR-00572,BR-00168,E-004676,2025-07-19,Problema con el embalaje,Procesada
DV-00010,C-001758,CL-07104,ET-01758,P-025793,PR-00841,BR-00233,E-006301,2025-02-28,Producto incompleto,Pendiente
DV-00011,C-002206,CL-09930,ET-02206,P-003635,PR-01370,BR-00031,E-000950,2025-08-10,No funciona correctamente,Pendiente
DV-00012,C-004210,CL-01084,ET-04210,P-029866,PR-00650,BR-00110,E-002929,2025-06-20,Producto defectuoso,Pendiente
DV-00013,C-001851,CL-00561,ET-01851,P-000535,PR-00036,BR-00003,E-000303,2025-04-14,Producto defectuoso,Pendiente
DV-00014,C-001767,CL-09380,ET-01767,P-031455,PR-00341,BR-00118,E-003315,2025-04-19,Problema con el embalaje,Rechazada
DV-00015,C-002225,CL-02649,ET-02225,P-029493,PR-00734,BR-00268,E-007121,2025-07-16,Error en el pedido,Rechazada
