entrega_id,venta_id,fecha_envio,fecha_entrega,estado,tipo_entrega,empresa_logistica,cumplimiento_72h
ET-00002,C-000002,2025-06-25,,Enviado,Propia,,
ET-00003,C-000003,,,Pendiente,Logística,Correos Express,
ET-00006,C-000006,2025-07-09,2025-07-10,Entregado,Logística,DHL,Entregado a tiempo
ET-00007,C-000007,2025-08-03,2025-08-05,Entregado,Logística,DHL,Entregado a tiempo
ET-00010,C-000010,2025-08-03,2025-08-03,Entregado,Propia,,Entregado a tiempo
ET-00011,C-000011,2025-07-25,2025-07-27,Entregado,Logística,DHL,Entregado a tiempo
ET-00012,C-000012,2025-08-16,,Enviado,Logística,DHL,
ET-00014,C-000014,2025-07-24,,Enviado,Logística,Amazon Logistics,
ET-00015,C-000015,2025-08-28,2025-08-30,Entregado,Logística,SEUR,Entregado a tiempo
ET-00016,C-000016,2025-07-20,2025-07-24,Entregado,Logística,SEUR,Retrasado
ET-00019,C-000019,2025-07-28,,Enviado,Logística,Amazon Logistics,
ET-00021,C-000021,2025-08-21,,Enviado,Logística,Amazon Logistics,
ET-00022,C-000022,2025-07-03,,Cancelado,Logística,FedEx,
ET-00023,C-000023,2025-06-11,,Enviado,Propia,,
ET-00026,C-000026,,,Pendiente,Propia,,
ET-00028,C-000028,2025-06-09,2025-06-12,Entregado,Logística,FedEx,Entregado a tiempo
ET-00029,C-000029,2025-06-13,2025-06-14,Entregado,Propia,,Entregado a tiempo
ET-00030,C-000030,,,Pendiente,Propia,,
ET-00031,C-000031,2025-06-09,,Enviado,Logística,Correos Express,
ET-00032,C-000032,2025-07-16,2025-07-17,Entregado,Propia,,Entregado a tiempo
ET-00035,C-000035,2025-07-07,2025-07-10,Entregado,Logística,FedEx,Entregado a tiempo
ET-00036,C-000036,2025-08-15,2025-08-16,Entregado,Propia,,Entregado a tiempo
ET-00038,C-000038,2025-08-27,,Enviado,Propia,,
ET-00039,C-000039,2025-07-07,,Enviado,Logística,Correos Express,
ET-00042,C-000042,2025-07-27,,Enviado,Logística,Amazon Logistics,
ET-00043,C-000043,2025-06-11,2025-06-13,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-00044,C-000044,2025-07-14,,Enviado,Propia,,
