inventory_id,branch_id,product_id,stock_actual,stock_minimo,fecha_ingreso,fecha_actualizacion,estado
I-000001,BR-00001,P-000001,10,20,2025-03-27,2025-05-30,Bajo stock
I-000002,BR-00001,P-000002,55,15,2025-04-17,2025-04-17,Disponible
I-000003,BR-00001,P-000003,5,14,2025-06-14,2025-06-17,Bajo stock
I-000004,BR-00001,P-000004,24,14,2025-04-09,2025-07-09,Disponible
I-000005,BR-00001,P-000005,85,12,2025-06-04,2025-07-21,Disponible
I-000006,BR-00001,P-000006,73,7,2025-06-29,2025-07-25,Disponible
I-000007,BR-00001,P-000007,32,7,2025-03-25,2025-05-08,Disponible
I-000008,BR-00001,P-000008,78,13,2025-05-13,2025-07-13,Disponible
I-000009,BR-00001,P-000009,63,6,2025-04-09,2025-08-14,Disponible
I-000010,BR-00001,P-000010,33,18,2025-03-10,2025-07-18,Disponible
I-000011,BR-00001,P-000011,59,16,2025-04-04,2025-05-31,Disponible
I-000012,BR-00001,P-000012,83,8,2025-05-31,2025-08-02,Disponible
I-000013,BR-00001,P-000013,59,10,2025-04-02,2025-06-22,Disponible
I-000014,BR-00001,P-000014,42,18,2025-06-02,2025-08-19,Disponible
I-000015,BR-00001,P-000015,62,12,2025-03-12,2025-05-25,Disponible
I-000016,BR-00001,P-000016,83,16,2025-04-21,2025-06-25,Disponible
I-000017,BR-00001,P-000017,62,9,2025-05-14,2025-07-30,Disponible
I-000018,BR-00001,P-000018,55,10,2025-06-22,2025-08-24,Disponible
I-000019,BR-00001,P-000019,12,17,2025-07-02,2025-07-20,Bajo stock
I-000020,BR-00001,P-000020,87,11,2025-04-06,2025-08-21,Disponible
I-000021,BR-00001,P-000021,7,19,2025-05-02,2025-08-18,Bajo stock
I-000022,BR-00001,P-000022,2,9,2025-06-18,2025-07-02,Bajo stock
I-000023,BR-00001,P-000023,69,15,2025-04-28,2025-07-18,Disponible
I-000024,BR-00001,P-000024,32,18,2025-07-15,2025-08-07,Disponible
I-000025,BR-00001,P-000025,39,19,2025-05-26,2025-08-06,Disponible
I-000026,BR-00001,P-000026,27,18,2025-04-06,2025-07-02,Disponible
I-000027,BR-00001,P-000027,72,6,2025-06-13,2025-07-30,Disponible
I-000028,BR-00001,P-000028,65,7,2025-06-25,2025-08-17,Disponible
I-000029,BR-00001,P-000029,68,10,2025-03-17,2025-05-09,Disponible
I-000030,BR-00001,P-000030,80,6,2025-04-30,2025-06-09,Disponible
I-000031,BR-00001,P-000031,62,9,2025-07-07,2025-07-19,Disponible
I-000032,BR-00001,P-000032,26,18,2025-07-20,2025-07-23,Disponible
I-000033,BR-00001,P-000033,22,18,2025-02-28,2025-03-06,Disponible
I-000034,BR-00001,P-000034,56,10,2025-06-10,2025-08-14,Disponible
I-000035,BR-00001,P-000035,100,17,2025-04-04,2025-07-09,Disponible
I-000036,BR-00001,P-000036,71,16,2025-03-17,2025-03-28,Disponible
I-000037,BR-00001,P-000037,90,14,2025-03-13,2025-03-18,Disponible
I-000038,BR-00001,P-000038,12,10,2025-03-17,2025-06-19,Disponible
I-000039,BR-00001,P-000039,30,8,2025-07-25,2025-07-27,Disponible
I-000040,BR-00001,P-000040,13,9,2025-02-28,2025-08-08,Disponible
I-000041,BR-00001,P-000041,76,9,2025-03-30,2025-03-31,Disponible
