pago_id,order_proveedor_id,provider_id,provider_name,fecha_orden,condicion_pago,fecha_vencimiento,fecha_pago,monto_total,estado_pago
PP-000001,O-000001,PR-00043,Fábrica Iberia S.Coop.,2025-07-02,60 días,2025-08-31,,1646.62,Pendiente
PP-000002,O-000002,PR-00043,Fábrica Iberia S.Coop.,2025-08-24,60 días,2025-10-23,2025-09-26,3712.24,Pagado
PP-000003,O-000003,PR-00047,Familia Vera S.Coop.,2025-06-29,60 días,2025-08-28,,3316.44,Pendiente
PP-000004,O-000004,PR-00787,Salmerón y Aranda S.A.,2025-08-22,90 días,2025-11-20,,1781.82,Pendiente
PP-000005,O-000005,PR-00047,Familia Vera S.Coop.,2025-07-27,60 días,2025-09-25,,3529.98,Pendiente
PP-000006,O-000006,PR-01019,Farmaceútica Calvet S.A.,2025-08-12,Contado,2025-08-12,,2015.36,Retrasado
PP-000007,O-000007,PR-00007,Maribel Sastre Maza S.L.L.,2025-07-17,90 días,2025-10-15,,2638.76,Pendiente
PP-000008,O-000008,PR-00008,Consultoría FYAO S.L.,2025-08-14,30 días,2025-09-13,,1855.92,Pendiente
PP-000009,O-000009,PR-00008,Consultoría FYAO S.L.,2025-08-04,30 días,2025-09-03,2025-08-29,4057.66,Pagado
PP-000010,O-000010,PR-00009,Fabiola Rodriguez Roig S.A.,2025-07-29,Contado,2025-07-29,2025-07-29,860.75,Pagado
PP-000011,O-000011,PR-00942,Cáceres y Tormo S.A.T.,2025-07-21,60 días,2025-09-19,,5524.64,Pendiente
PP-000012,O-000012,PR-00011,Calderon y asociados S.A.,2025-07-22,60 días,2025-09-20,2025-08-10,8471.4,Pagado
PP-000013,O-000013,PR-01097,Alimentación PXD S.L.N.E,2025-07-02,60 días,2025-08-31,2025-07-22,758.4,Pagado
PP-000014,O-000014,PR-00015,Gallo y Barbero S.Com.,2025-08-18,60 días,2025-10-17,2025-09-09,3423.78,Pagado
PP-000015,O-000015,PR-01375,Grupo Pazos S.A.,2025-07-16,60 días,2025-09-14,2025-08-25,6812.0,Pagado
PP-000016,O-000016,PR-00729,Inversiones Andrés y asociados S.L.,2025-07-05,90 días,2025-10-03,2025-09-23,1715.28,Pagado
PP-000017,O-000017,PR-01472,Simón Barrios Nogueira S.Coop.,2025-07-07,90 días,2025-10-05,2025-09-19,3502.24,Pagado
PP-000018,O-000018,PR-01472,Simón Barrios Nogueira S.Coop.,2025-08-23,90 días,2025-11-21,2025-09-01,3155.28,Pagado
PP-000019,O-000019,PR-00005,Alimentación Ibéricos S.C.P,2025-08-18,90 días,2025-11-16,,3592.5,Pendiente
PP-000020,O-000020,PR-00005,Alimentación Ibéricos S.C.P,2025-08-02,90 días,2025-10-31,,967.4,Pendiente
PP-000021,O-000021,PR-00023,Banca Privada TM S.A.,2025-07-12,90 días,2025-10-10,2025-07-17,2300.1,Pagado
PP-000022,O-000022,PR-00664,Transportes Castellana S.L.,2025-08-09,30 días,2025-09-08,2025-08-14,6378.48,Pagado
PP-000023,O-000023,PR-01225,Infraestructuras Gascón S.Coop.,2025-07-03,90 días,2025-10-01,2025-08-07,8424.61,Pagado
PP-000024,O-000024,PR-00026,Infraestructuras Iberia S.Coop.,2025-08-17,60 días,2025-10-16,2025-09-03,9013.9,Pagado
PP-000025,O-000025,PR-00029,Calista Doménech Miró S.Coop.,2025-07-18,90 días,2025-10-16,2025-08-17,13370.94,Pagado
PP-000026,O-000026,PR-00875,Celestina Talavera Huerta S.L.L.,2025-08-03,60 días,2025-10-02,,5787.24,Pendiente
PP-000027,O-000027,PR-01477,Portero y Cabello S.Coop.,2025-08-22,60 días,2025-10-21,2025-09-26,1239.4,Pagado
PP-000028,O-000028,PR-01495,Revilla y asociados S.A.,2025-07-08,Contado,2025-07-08,2025-07-08,198.22,Pagado
PP-000029,O-000029,PR-00044,Romeu y Barros S.L.,2025-08-16,60 días,2025-10-15,,7589.88,Pendiente
PP-000030,O-000030,PR-01179,Desarrollo RPZG S.A.D,2025-06-29,90 días,2025-09-27,2025-08-31,6367.5,Pagado
PP-000031,O-000031,PR-00787,Salmerón y Aranda S.A.,2025-06-28,90 días,2025-09-26,,704.99,Pendiente
PP-000032,O-000032,PR-00033,Desarrollo QS S.A.U,2025-07-30,30 días,2025-08-29,2025-08-28,611.28,Pagado
PP-000033,O-000033,PR-00790,Hermanos Bonilla S.L.N.E,2025-07-21,60 días,2025-09-19,,2751.49,Pendiente
PP-000034,O-000034,PR-00703,Suministros VPK S.Com.,2025-07-30,90 días,2025-10-28,2025-10-06,7233.27,Pagado
PP-000035,O-000035,PR-00035,Farmaceútica Nadal S.A.,2025-08-24,60 días,2025-10-23,2025-09-07,3505.58,Pagado
PP-000036,O-000036,PR-00889,Viana y Cañizares S.A.,2025-07-12,60 días,2025-09-10,,7035.05,Pendiente
PP-000037,O-000037,PR-00007,Maribel Sastre Maza S.L.L.,2025-07-13,90 días,2025-10-11,2025-10-05,1197.72,Pagado
PP-000038,O-000038,PR-01357,Servicios Inteligentes S.Coop.,2025-07-15,30 días,2025-08-14,2025-08-07,1606.6,Pagado
PP-000039,O-000039,PR-00008,Consultoría FYAO S.L.,2025-07-14,30 días,2025-08-13,2025-07-14,6219.9,Pagado
PP-000040,O-000040,PR-00986,Servicios Barrera S.Coop.,2025-07-02,60 días,2025-08-31,,1014.0,Pendiente
PP-000041,O-000041,PR-01172,Borja Puerta Pedraza S.A.,2025-07-23,30 días,2025-08-22,,4155.14,Retrasado
PP-000042,O-000042,PR-01172,Borja Puerta Pedraza S.A.,2025-07-14,30 días,2025-08-13,2025-07-31,4165.41,Pagado
PP-000043,O-000043,PR-00013,Manzano y Pedro S.L.,2025-08-23,30 días,2025-09-22,,4635.4,Pendiente
PP-000044,O-000044,PR-00013,Manzano y Pedro S.L.,2025-07-13,30 días,2025-08-12,2025-08-10,1178.0,Pagado
PP-000045,O-000045,PR-00014,Grupo Giménez S.A.T.,2025-07-27,30 días,2025-08-26,2025-07-27,1070.7,Pagado
PP-000046,O-000046,PR-00014,Grupo Giménez S.A.T.,2025-07-17,30 días,2025-08-16,2025-07-19,654.04,Pagado
PP-000047,O-000047,PR-00015,Gallo y Barbero S.Com.,2025-07-28,60 días,2025-09-26,2025-08-31,170.0,Pagado
PP-000048,O-000048,PR-01097,Alimentación PXD S.L.N.E,2025-07-08,60 días,2025-09-06,2025-09-02,3511.4,Pagado
PP-000049,O-000049,PR-01375,Grupo Pazos S.A.,2025-08-16,60 días,2025-10-15,,1518.69,Pendiente
PP-000050,O-000050,PR-01220,Transportes Asenjo S.A.,2025-07-30,60 días,2025-09-28,,5620.28,Pendiente
PP-000051,O-000051,PR-00040,Supermercados HML S.L.N.E,2025-08-09,90 días,2025-11-07,,12702.0,Pendiente
PP-000052,O-000052,PR-01405,Familia Duque S.Com.,2025-07-05,60 días,2025-09-03,2025-07-26,5120.14,Pagado
PP-000053,O-000053,PR-00016,Hnos Ropero S.Com.,2025-07-14,90 días,2025-10-12,,4763.85,Pendiente
PP-000054,O-000054,PR-01405,Familia Duque S.Com.,2025-07-18,60 días,2025-09-16,2025-08-28,2785.53,Pagado
PP-000055,O-000055,PR-00018,Inmobiliaria Borja S.A.,2025-07-28,30 días,2025-08-27,,2080.8,Pendiente
PP-000056,O-000056,PR-00004,Portillo y asociados S.Com.,2025-07-03,30 días,2025-08-02,2025-07-13,1234.4,Pagado
PP-000057,O-000057,PR-00005,Alimentación Ibéricos S.C.P,2025-06-27,90 días,2025-09-25,2025-08-01,1967.0,Pagado
