product_id,branch_id,category,subcategory,product_name,brand,unit,price,provider_id,provider_name
P-000001,BR-00001,Productos de Limpieza,Desinfectantes,Without Desinfectantes,"Frost, Willis and Hicks",caja,28.39,PR-01016,Despacho Inteligentes S.L.
P-000002,BR-00001,Productos de Limpieza,Desinfectantes,Loss Desinfectantes,Irwin Ltd,unidad,11.64,PR-00782,Industrias Suárez S.Com.
P-000003,BR-00001,Productos de Limpieza,Desinfectantes,Yeah Desinfectantes,"Murray, Valdez and Jimenez",kg,132.58,PR-00827,Francisco & Asociados S.Coop.
P-000004,BR-00001,Productos de Limpieza,Detergentes,System Detergentes,Jones Ltd,litro,80.14,PR-00044,Geraldo Alcolea Luján S.C.P
P-000005,BR-00001,Productos de Limpieza,Detergentes,Accept Detergentes,Farmer Inc,paquete,87.61,PR-00044,Geraldo Alcolea Luján S.C.P
P-000006,BR-00001,Productos de Limpieza,Detergentes,Wait Detergentes,Pierce and Sons,paquete,123.27,PR-00044,Geraldo Alcolea Luján S.C.P
P-000007,BR-00001,Productos de Limpieza,Detergentes,Small Detergentes,"Thomas, Grimes and Powell",unidad,2.55,PR-00044,Geraldo Alcolea Luján S.C.P
P-000008,BR-00001,Productos de Limpieza,Detergentes,Specific Detergentes,Browning-Nicholson,paquete,41.6,PR-00044,Geraldo Alcolea Luján S.C.P
P-000009,BR-00001,Productos de Limpieza,Detergentes,Affect Detergentes,"Reid, Johnson and Harvey",kg,89.83,PR-00044,Geraldo Alcolea Luján S.C.P
P-000010,BR-00001,Productos de Limpieza,Detergentes,Among Detergentes,"Torres, Griffith and Cox",paquete,33.75,PR-00044,Geraldo Alcolea Luján S.C.P
P-000011,BR-00001,Productos de Limpieza,Ambientadores,Thought Ambientadores,"Ayala, Parker and Nguyen",kg,39.97,PR-00045,Alimentación Román y asociados S.Coop.
P-000012,BR-00001,Productos de Limpieza,Ambientadores,Control Ambientadores,"Wright, Le and Lopez",litro,95.45,PR-00045,Alimentación Román y asociados S.Coop.
P-000013,BR-00001,Productos de Limpieza,Ambientadores,Idea Ambientadores,Bartlett and Sons,paquete,90.72,PR-00045,Alimentación Román y asociados S.Coop.
P-000014,BR-00001,Productos de Limpieza,Ambientadores,Speak Ambientadores,"Caldwell, Jones and Daniel",unidad,67.1,PR-00045,Alimentación Román y asociados S.Coop.
P-000015,BR-00001,Productos de Limpieza,Limpiadores multiusos,Movement Limpiadores multiusos,Reed Group,kg,108.9,PR-00046,Soluciones Agudo S.L.
P-000016,BR-00001,Productos de Limpieza,Limpiadores multiusos,Off Limpiadores multiusos,Gutierrez Group,litro,73.6,PR-00046,Soluciones Agudo S.L.
P-000017,BR-00001,Productos de Limpieza,Limpiadores multiusos,Agree Limpiadores multiusos,"Daniel, Conrad and Hall",litro,146.86,PR-00046,Soluciones Agudo S.L.
P-000018,BR-00001,Productos de Limpieza,Limpiadores multiusos,To Limpiadores multiusos,"Douglas, Murphy and Rush",kg,137.28,PR-00046,Soluciones Agudo S.L.
P-000019,BR-00001,Productos de Limpieza,Escobas y utensilios,May Escobas y utensilios,Smith PLC,kg,57.18,PR-00047,Compañía Salgado y asociados S.A.
P-000020,BR-00001,Productos de Limpieza,Escobas y utensilios,News Escobas y utensilios,White-Kelley,kg,79.37,PR-00047,Compañía Salgado y asociados S.A.
P-000021,BR-00001,Productos de Limpieza,Escobas y utensilios,Bar Escobas y utensilios,Hawkins-Brown,unidad,31.26,PR-00047,Compañía Salgado y asociados S.A.
P-000022,BR-00001,Productos de Limpieza,Escobas y utensilios,Dark Escobas y utensilios,Chan-Lopez,litro,65.37,PR-00047,Compañía Salgado y asociados S.A.
P-000023,BR-00001,Cuidado Personal,Cosméticos,House Cosméticos,Davis PLC,kg,61.64,PR-00033,Hermanos Ayllón S.A.
