provider_id,name,nif,email,phone,country,city,address,category,subcategory,condicion_pago
PR-00001,Comercial Herrero S.Coop.,W29933850,lupeaguila@example.com,+1-809 652945506,Dominican Republic,Santiago de los Caballeros,"Calle Samu Amo 973 Piso 6 , Vizcaya, 35201",Tecnología,Software,90 días
PR-00002,Cordero y Terrón S.L.,R53916296,llamasitziar@example.net,+1-809 698190224,Dominican Republic,Santiago de los Caballeros,"Acceso Roldán Sans 23, Murcia, 21163",Tecnología,Hardware,90 días
PR-00003,Carballo y Bejarano S.Com.,A54479951,azconamatilde@example.org,+1-809 608356539,Dominican Republic,Santiago de los Caballeros,"Avenida de Asdrubal Valcárcel 69 Puerta 2 , Baleares, 21658",Tecnología,Redes,60 días
PR-00004,Construcción Perez S.Com.,D49714718,silvia83@example.com,+1-809 612735194,Dominican Republic,Santiago de los Caballeros,"Camino de Trinidad Fajardo 2, Madrid, 05733",Tecnología,Ciberseguridad,60 días
PR-00005,Instalaciones Figueras S.L.,H68798274,gfigueroa@example.com,+1-809 627827610,Dominican Republic,Santiago de los Caballeros,"C. de Isaac Cardona 30 Piso 9 , Almería, 12317",Tecnología,IoT,60 días
PR-00006,Infraestructuras ICS S.L.N.E,J20608863,luisacastillo@example.net,+1-809 607892838,Dominican Republic,Santiago de los Caballeros,"Acceso Ruperta Rey 34 Apt. 95 , Huesca, 17376",Alimentos,Frutas y Verduras,90 días
PR-00007,Barragán y Cuervo S.Coop.,G98134278,celestinoconde@example.net,+1-809 646858430,Dominican Republic,Santiago de los Caballeros,"Rambla de Glauco Lara 27, Asturias, 25128",Alimentos,Carnes y Embutidos,60 días
PR-00008,Infraestructuras Integrales S.L.,R60056805,marcobautista@example.org,+1-809 690321664,Dominican Republic,Santiago de los Caballeros,"Alameda Gil Frías 99 Puerta 8 , Asturias, 22797",Alimentos,Bebidas,90 días
PR-00009,Restauración Guardia S.L.,F50996234,esparzaambrosio@example.net,+1-809 687268406,Dominican Republic,Santiago de los Caballeros,"Callejón Rebeca Marco 40, Huesca, 31725",Alimentos,Panadería,90 días
PR-00010,Ramírez y Herrera S.Coop.,U24530234,crequena@example.org,+1-809 601937057,Dominican Republic,Santiago de los Caballeros,"Callejón de Socorro Calderón 160, Girona, 15982",Alimentos,Comida Congelada,Contado
PR-00011,Borja Antón Bueno S.L.,A56495015,nuria97@example.org,+1-809 659336810,Dominican Republic,Santiago de los Caballeros,"Plaza Lucas Benito 1, Palencia, 22119",Ropa,Moda Hombre,30 días
