purchase_id,branch_id,client_id,fecha,canal,metodo_pago,employee_id,total
C-000001,BR-00070,CL-08745,2025-06-28,Página Web,PayPal,E-001909,1371.0
C-000002,BR-00247,CL-09326,2025-07-02,Amazon,Amazon Pay,E-006697,279.6
C-000003,BR-00287,CL-08700,2025-08-19,Página Web,Tarjeta,E-007725,113.14
C-000004,BR-00193,CL-02548,2025-06-15,Distribuidor,Transferencia,E-005232,57.65
C-000005,BR-00084,CL-06165,2025-08-23,Presencial,Efectivo,E-002460,697.11
C-000006,BR-00134,CL-05474,2025-06-21,Distribuidor,Transferencia,E-003753,591.75
C-000007,BR-00329,CL-05775,2025-06-15,Instagram,Bizum,E-008794,284.36
C-000008,BR-00045,CL-04583,2025-06-30,Página Web,PayPal,E-001439,658.42
C-000009,BR-00277,CL-05576,2025-08-17,Página Web,Tarjeta,E-007558,357.08
C-000010,BR-00115,CL-00563,2025-06-25,Página Web,PayPal,E-003044,300.24
C-000011,BR-00159,CL-05508,2025-06-15,Instagram,Transferencia,E-004384,1151.5
C-000012,BR-00065,CL-05545,2025-08-13,Presencial,Tarjeta,E-001867,1154.69
C-000013,BR-00131,CL-07262,2025-07-03,Instagram,Bizum,E-003695,83.92
C-000014,BR-00370,CL-02236,2025-07-08,Instagram,Bizum,E-009805,578.9
C-000015,BR-00296,CL-06697,2025-07-15,Instagram,Bizum,E-007815,733.6
C-000016,BR-00309,CL-07060,2025-05-30,Distribuidor,Transferencia,E-008296,425.15
C-000017,BR-00147,CL-06235,2025-08-07,Presencial,Efectivo,E-003896,1184.37
C-000018,BR-00304,CL-00610,2025-07-27,Distribuidor,Transferencia,E-007863,246.22
C-000019,BR-00124,CL-04958,2025-08-08,Página Web,Tarjeta,E-003544,772.87
C-000020,BR-00243,CL-06345,2025-07-15,Distribuidor,Transferencia,E-006629,275.84
C-000021,BR-00118,CL-07826,2025-07-27,Página Web,PayPal,E-003266,617.22
C-000022,BR-00161,CL-09456,2025-06-22,Presencial,Tarjeta,E-004463,1029.95
C-000023,BR-00158,CL-00175,2025-06-04,Distribuidor,Transferencia,E-004354,539.74
C-000024,BR-00401,CL-09201,2025-08-02,Página Web,Tarjeta,E-010681,913.54
C-000025,BR-00083,CL-07239,2025-07-07,Amazon,Tarjeta,E-002438,73.0
C-000026,BR-00202,CL-01344,2025-08-11,Presencial,Tarjeta,E-005594,1244.7
C-000027,BR-00309,CL-04104,2025-08-08,Distribuidor,Transferencia,E-008286,687.25
C-000028,BR-00015,CL-01605,2025-06-18,Instagram,Transferencia,E-000692,1474.91
C-000029,BR-00124,CL-00541,2025-06-21,Presencial,Tarjeta,E-003565,901.77
