pago_id,venta_id,fecha_cobro,monto_total,metodo_pago,estado_pago
PG-000001,C-9526,2025-07-26,476.03,Amazon Pay,Pendiente
pg_000002,C-6860,2025-08-02,550.14,Transferencia,Completado
PG-000003,C-1197,2025-08-02,1260.08,Bizum,Fallido
PG-000004,C-3056,2025-07-10,1531.53,Transferencia,Pendiente
pg_000005,C-5574,2025-08-11,1075.01,Bizum,Completado
pg_000006,C-3067,2025-08-26,1007.16,PayPal,Completado
PG-000007,C-3444,2025-08-24,1894.32,Amazon Pay,Completado
PG-000008,C-6429,2025-08-16,71.14,Efectivo,Completado
pg_000009,C-4156,2025-07-18,1214.16,Efectivo,Pendiente
PG-000010,C-7142,2025-08-27,1770.92,Bizum,Fallido
PG-000011,C-3121,2025-08-07,1055.95,PayPal,Completado
pg_000012,C-5342,2025-07-23,1418.01,Efectivo,Pendiente
PG-000013,C-3647,2025-07-31,1435.39,Transferencia,Pendiente
PG-000014,C-5949,2025-07-16,106.98,Tarjeta,Fallido
PG-000015,C-2436,2025-07-16,1407.57,PayPal,Pendiente
PG-000016,C-4720,2025-07-31,1865.75,Amazon Pay,Completado
pg_000017,C-5624,2025-07-26,487.74,Bizum,Completado
PG-000018,C-8729,2025-07-09,1271.92,PayPal,Pendiente
PG-000019,C-2792,2025-07-31,1231.06,Efectivo,Fallido
PG-000020,C-5224,2025-07-04,584.83,Amazon Pay,Pendiente
PG-000021,C-1390,2025-07-01,1044.99,Amazon Pay,Fallido
PG-000022,C-4061,2025-07-20,257.01,Tarjeta,Fallido
PG-000023,C-8689,2025-07-05,1572.73,Tarjeta,Pendiente
pg_000024,C-2673,2025-07-16,1882.53,Amazon Pay,Completado
PG-000025,C-5326,2025-07-13,1519.34,Transferencia,Completado
PG-000026,C-7439,2025-08-03,1737.13,Efectivo,Pendiente
PG-000027,C-3304,2025-08-08,958.99,Tarjeta,Completado
PG-000028,C-2638,2025-08-11,677.86,Bizum,Fallido
PG-000029,C-3626,2025-08-13,1786.72,Bizum,Completado
PG-000030,C-9626,,1891.47,Amazon Pay,Pendiente
PG-000031,C-5456,2025-08-10,1581.39,Transferencia,Fallido
pg_000032,C-2124,2025-08-12,455.07,Amazon Pay,Fallido
pg_000033,C-3537,2025-07-07,1712.06,PayPal,Pendiente
PG-000034,C-811,2025-08-23,954.13,Transferencia,Pendiente
PG-000035,C-8672,2025-07-25,,Tarjeta,Pendiente
