purchase_id,branch_id,client_id,fecha,canal,metodo_pago,employee_id,total
c_000001,SUC-14,CL-208,2025-08-08,Presencial,Amazon Pay,EMP-6,222.51
C-000002,SUC-22,CL-8281,2025-07-21,Amazon,Bizum,EMP-61,1109.38
c_000003,SUC-41,CL-8392,2025-06-16,Amazon,Tarjeta,EMP-97,1331.72
C-000004,SUC-30,CL-7583,2025-07-13,Presencial,Tarjeta,EMP-89,214.17
C-000005,SUC-28,CL-4661,2025-08-05,Página Web,Amazon Pay,EMP-75,736.09
c_000006,SUC-43,CL-9573,2025-07-23,Presencial,PayPal,EMP-23,928.15
c_000007,SUC-34,CL-8451,2025-08-21,Amazon,Transferencia,EMP-72,1268.87
c_000008,SUC-12,CL-5572,2025-08-19,Instagram,Tarjeta,EMP-29,598.95
c_000009,SUC-14,CL-7951,2025-08-11,Página Web,Tarjeta,EMP-69,312.1
C-000010,SUC-2,CL-2029,2025-07-16,Distribuidor,Transferencia,EMP-64,1445.76
c_000011,SUC-33,CL-9318,2025-05-30,Distribuidor,Efectivo,EMP-82,492.44
c_000012,SUC-12,CL-3151,2025-06-21,Página Web,Bizum,EMP-65,412.7
C-000013,SUC-25,CL-8326,2025-06-11,Instagram,PayPal,EMP-89,710.32
C-000014,SUC-41,CL-5122,2025-06-22,Distribuidor,Transferencia,EMP-85,1196.55
c_000015,SUC-13,CL-5411,2025-07-11,Presencial,Amazon Pay,EMP-89,826.16
c_000016,SUC-6,CL-5074,2025-07-03,Instagram,Bizum,EMP-2,137.02
C-000017,SUC-36,CL-7469,2025-07-31,Presencial,Bizum,EMP-24,898.17
C-000018,SUC-45,CL-4847,2025-08-05,Amazon,PayPal,EMP-85,581.24
c_000019,SUC-5,CL-3045,2025-07-03,Presencial,Bizum,EMP-75,175.62
c_000020,SUC-36,CL-9070,2025-06-24,Desconocido,Efectivo,EMP-62,1064.59
C-000021,SUC-31,CL-7969,2025-06-12,Amazon,Amazon Pay,EMP-92,58.92
C-000022,SUC-16,CL-8048,2025-07-06,Amazon,Amazon Pay,EMP-23,629.42
C-000023,SUC-16,CL-6780,2025-08-08,Instagram,Bizum,EMP-83,186.28
C-000024,SUC-16,CL-9969,2025-06-28,Presencial,Transferencia,EMP-51,543.16
c_000025,SUC-27,CL-1307,2025-07-29,Presencial,Cheque,EMP-7,344.51
