alerta_id,branch_id,product_id,stock_actual,stock_minimo,fecha_actualizacion,fecha_alerta,prioridad,provider_id,provider_name
AL-00001,BR-00001,P-000016,5,16,2025-07-17,2025-08-23,Media,PR-00046,Amílcar Aznar Ramirez S.Com.
AL-00002,BR-00001,P-000017,10,16,2025-08-21,2025-08-23,Baja,PR-00046,Amílcar Aznar Ramirez S.Com.
AL-00003,BR-00001,P-000026,4,13,2025-08-21,2025-08-23,Media,PR-00033,Comercial Cisneros y asociados S.A.
AL-00004,BR-00001,P-000030,2,5,2025-07-29,2025-08-23,Media,PR-00844,Desarrollo Ibérica S.A.
AL-00005,BR-00001,P-000035,4,20,2025-08-08,2025-08-23,Media,PR-00635,Anna Figueras Cano S.L.N.E
AL-00006,BR-00001,P-000049,11,12,2025-08-11,2025-08-23,Baja,PR-00037,Hnos Romeu S.Com.
AL-00007,BR-00001,P-000064,1,6,2025-08-20,2025-08-23,Media,PR-00008,Suministros Mancebo y asociados S.C.P
AL-00008,BR-00001,P-000072,2,19,2025-07-01,2025-08-23,Media,PR-00010,Eduardo Manso Soler S.L.U.
AL-00009,BR-00001,P-000076,10,16,2025-08-08,2025-08-23,Baja,PR-00011,Instalaciones YY S.Coop.
AL-00010,BR-00001,P-000083,3,20,2025-07-20,2025-08-23,Media,PR-00012,Grupo Cabezas S.A.
AL-00011,BR-00001,P-000090,11,16,2025-05-27,2025-08-23,Baja,PR-00716,Distribuciones XZBK S.A.
AL-00012,BR-00001,P-000091,2,12,2025-07-11,2025-08-23,Media,PR-00716,Distribuciones XZBK S.A.
AL-00013,BR-00001,P-000096,3,11,2025-06-30,2025-08-23,Media,PR-01076,Poza & Asociados S.A.
AL-00014,BR-00001,P-000098,8,15,2025-07-20,2025-08-23,Baja,PR-01076,Poza & Asociados S.A.
AL-00015,BR-00001,P-000104,18,18,2025-04-27,2025-08-23,Baja,PR-00038,Marín y Figuerola S.Coop.
AL-00016,BR-00001,P-000110,6,11,2025-07-15,2025-08-23,Baja,PR-00040,Familia Cánovas S.L.
AL-00017,BR-00001,P-000115,10,15,2025-06-30,2025-08-23,Baja,PR-00626,Mariño & Asociados S.A.
AL-00018,BR-00001,P-000117,17,19,2025-07-21,2025-08-23,Baja,PR-00626,Mariño & Asociados S.A.
AL-00019,BR-00001,P-000120,11,18,2025-06-23,2025-08-23,Baja,PR-00935,Infante y asociados S.L.
AL-00020,BR-00001,P-000123,4,14,2025-06-02,2025-08-23,Media,PR-01460,Tecnologías Pinilla & Asociados S.L.N.E
AL-00021,BR-00001,P-000125,10,19,2025-05-25,2025-08-23,Baja,PR-01161,Ródenas y Fernandez S.Com.
AL-00022,BR-00001,P-000126,3,13,2025-07-10,2025-08-23,Media,PR-01431,Andrés Felipe Salvador Ariño S.Com.
AL-00023,BR-00001,P-000137,3,17,2025-08-03,2025-08-23,Media,PR-00017,Sureda y Montalbán S.C.P
AL-00024,BR-00001,P-000139,8,14,2025-04-19,2025-08-23,Baja,PR-01430,Hoyos y Bastida S.A.U
AL-00025,BR-00001,P-000141,11,16,2025-08-09,2025-08-23,Baja,PR-00018,Banca Privada FONM S.L.
AL-00026,BR-00001,P-000151,3,20,2025-07-07,2025-08-23,Media,PR-00020,Familia Lillo S.Coop.
AL-00027,BR-00001,P-000156,8,10,2025-06-23,2025-08-23,Baja,PR-00001,Fábrica del Norte S.Coop.
AL-00028,BR-00001,P-000159,3,5,2025-04-05,2025-08-23,Baja,PR-00001,Fábrica del Norte S.Coop.
AL-00029,BR-00001,P-000160,9,15,2025-03-19,2025-08-23,Baja,PR-00660,Comercializadora Inteligentes S.Com.
AL-00030,BR-00001,P-000163,13,15,2025-08-13,2025-08-23,Baja,PR-00002,Banca Privada del Noroeste S.A.
