pago_id,venta_id,fecha_cobro,monto_total,metodo_pago,estado_pago
PG-00001,C-000001,2025-08-11,424.93,Tarjeta,Completado
PG-00002,C-000002,2025-07-17,479.7,Amazon Pay,Completado
PG-00003,C-000003,2025-06-22 00:00:00,1621.52,PayPal,Fallido
PG-00004,C-000004,2025-06-12,593.2,Transferencia,Completado
PG-00005,C-000005,2025-08-23,872.19,Tarjeta,Completado
PG-00006,C-000006,2025-07-06,704.96,Transferencia,Completado
PG-00007,C-000007,2025-06-27,601.19,Tarjeta,Completado
PG-00008,C-000008,2025-07-09,999.71,Amazon Pay,Completado
PG-00009,C-000009,2025-08-18,1208.92,Bizum,Completado
PG-00010,C-000010,2025-08-07,717.8,Tarjeta,Completado
PG-00011,C-000011,2025-07-03,77.08,Transferencia,Completado
PG-00012,C-000012,2025-05-30,42.99,Transferencia,Completado
PG-00013,C-000013,2025-06-11,321.04,PayPal,Completado
PG-00014,C-000014,2025-08-10,145.24,Tarjeta,Completado
PG-00015,C-000015,2025-07-29,362.13,Tarjeta,Completado
PG-00016,C-000016,2025-06-26,1225.16,Tarjeta,Completado
PG-00017,C-000017,2025-07-26,948.19,Tarjeta,Completado
PG-00018,C-000018,2025-07-06,747.5,Bizum,Completado
PG-00019,C-000019,2025-06-19,302.16,PayPal,Completado
PG-00020,C-000020,2025-07-28,943.01,Tarjeta,Completado
PG-00021,C-000021,2025-08-05,1851.23,Transferencia,Completado
PG-00022,C-000022,2025-07-09,743.91,Amazon Pay,Completado
PG-00023,C-000023,2025-07-31,35.95,Transferencia,Completado
PG-00024,C-000024,2025-07-28,1420.52,Transferencia,Completado
PG-00025,C-000025,2025-08-10,873.03,Efectivo,Completado
PG-00026,C-000026,2025-07-01,295.11,Tarjeta,Completado
PG-00027,C-000027,2025-06-08 00:00:00,137.42,Tarjeta,Pendiente
PG-00028,C-000028,2025-08-02 00:00:00,849.88,Transferencia,Fallido
PG-00029,C-000029,2025-08-01,753.15,Tarjeta,Completado
PG-00030,C-000030,2025-05-26,502.34,Transferencia,Completado
PG-00031,C-000031,2025-07-25,617.33,Amazon Pay,Completado
PG-00032,C-000032,2025-06-12,480.94,Tarjeta,Completado
PG-00033,C-000033,2025-08-19,415.06,PayPal,Completado
PG-00034,C-000034,2025-08-22,490.51,Transferencia,Completado
PG-00035,C-000035,2025-07-10,451.14,Transferencia,Completado
PG-00036,C-000036,2025-07-06,1223.0,Tarjeta,Completado
PG-00037,C-000037,2025-05-28,224.99,Transferencia,Completado
PG-00038,C-000038,2025-07-20,1945.43,Tarjeta,Completado
PG-00039,C-000039,2025-08-22,1358.54,Efectivo,Completado
PG-00040,C-000040,2025-06-16 00:00:00,296.22,Transferencia,Pendiente
PG-00041,C-000041,2025-06-07,185.72,Transferencia,Completado
PG-00042,C-000042,2025-06-19,898.59,Bizum,Completado
PG-00043,C-000043,2025-06-23,117.45,Transferencia,Completado
PG-00044,C-000044,2025-07-09,769.21,PayPal,Completado
PG-00045,C-000045,2025-08-04 00:00:00,1030.29,Tarjeta,Pendiente
PG-00046,C-000046,2025-08-11,178.75,PayPal,Completado
PG-00047,C-000047,2025-06-02,319.15,Bizum,Completado
PG-00048,C-000048,2025-08-11,141.5,Efectivo,Completado
PG-00049,C-000049,2025-05-27,1153.2,PayPal,Completado
PG-00050,C-000050,2025-05-31,354.81,Tarjeta,Completado
PG-00051,C-000051,2025-06-17,559.06,Transferencia,Completado
PG-00052,C-000052,2025-07-21,62.84,Tarjeta,Completado
PG-00053,C-000053,2025-08-03,218.74,Tarjeta,Completado
PG-00054,C-000054,2025-07-13,311.25,Tarjeta,Completado
PG-00055,C-000055,2025-06-13,418.77,Transferencia,Completado
PG-00056,C-000056,2025-07-22,191.57,Efectivo,Completado
PG-00057,C-000057,2025-06-03 00:00:00,72.39,Transferencia,Pendiente
PG-00058,C-000058,2025-07-14,976.07,Efectivo,Completado
PG-00059,C-000059,2025-08-07,235.75,Transferencia,Completado
PG-00060,C-000060,2025-08-18,603.9,Transferencia,Completado
PG-00061,C-000061,2025-08-08,1596.0,Amazon Pay,Completado
PG-00062,C-000062,2025-06-09,327.95,Transferencia,Completado
PG-00063,C-000063,2025-06-04,561.68,Bizum,Completado
PG-00064,C-000064,2025-06-06,539.34,Efectivo,Completado
PG-00065,C-000065,2025-07-09,1451.8,Transferencia,Completado
PG-00066,C-000066,2025-06-29,1055.38,Tarjeta,Completado
PG-00067,C-000067,2025-06-05,1514.66,Bizum,Completado
PG-00068,C-000068,2025-07-01,347.27,Transferencia,Completado
PG-00069,C-000069,2025-05-29,444.9,Transferencia,Completado
PG-00070,C-000070,2025-06-01,108.12,Tarjeta,Completado
PG-00071,C-000071,2025-06-12 00:00:00,816.21,Efectivo,Pendiente
PG-00072,C-000072,2025-06-11,998.41,Bizum,Completado
PG-00073,C-000073,2025-07-07 00:00:00,567.42,Tarjeta,Pendiente
