order_id,branch_id,product_id,provider_id,provider_name,fecha_orden,cantidad,precio_unitario,total,estado
O-000001,BR-00001,P-000010,PR-00044,Jorge Bermejo Oliva S.A.,2025-08-03,64,33.75,2160.0,En tránsito
O-000002,BR-00001,P-000013,PR-01077,Hermanos Arana S.L.N.E,2025-06-30,68,90.72,6168.96,Recibido
O-000003,BR-00001,P-000017,PR-00918,Hnos Santamaria S.L.N.E,2025-08-03,69,146.86,10133.34,En tránsito
O-000004,BR-00001,P-000034,PR-00035,Lledó y Bernal S.Com.,2025-07-06,64,93.39,5976.96,Recibido
O-000005,BR-00001,P-000047,PR-00037,Caro y asociados S.L.,2025-08-12,83,97.34,8079.22,Recibido
O-000006,BR-00001,P-000048,PR-00037,Caro y asociados S.L.,2025-07-18,57,118.3,6743.1,Recibido
O-000007,BR-00001,P-000074,PR-00011,Infraestructuras Villegas S.L.,2025-07-02,72,38.31,2758.32,En tránsito
O-000008,BR-00001,P-000077,PR-00011,Infraestructuras Villegas S.L.,2025-07-20,95,130.37,12385.15,Pendiente
O-000009,BR-00001,P-000111,PR-00927,Promociones EX S.A.,2025-08-10,34,110.31,3750.54,Pendiente
O-000010,BR-00001,P-000119,PR-00819,Compañía Amor & Asociados S.A.,2025-06-28,54,118.04,6374.16,En tránsito
O-000011,BR-00001,P-000128,PR-00016,Compañía Beltran y asociados S.L.N.E,2025-08-16,88,62.31,5483.28,En tránsito
O-000012,BR-00001,P-000139,PR-01268,Tecnologías Castelló & Asociados S.Com.,2025-08-13,31,125.08,3877.48,Recibido
O-000013,BR-00001,P-000145,PR-01264,Juliana Iñiguez Gallardo S.Com.,2025-07-03,33,48.57,1602.81,Recibido
O-000014,BR-00001,P-000147,PR-00019,Compañía Barroso y asociados S.L.,2025-08-07,92,149.72,13774.24,Pendiente
O-000015,BR-00001,P-000164,PR-00002,Comercializadora Santamaría y asociados S.Com.,2025-08-07,41,98.32,4031.12,Pendiente
O-000016,BR-00001,P-000179,PR-01483,Hotel Avanzadas S.Coop.,2025-08-19,44,21.06,926.64,Recibido
O-000017,BR-00001,P-000181,PR-01362,Construcción Marqués S.Coop.,2025-07-04,37,132.46,4901.02,Recibido
O-000018,BR-00001,P-000182,PR-01179,Transportes Sancho y asociados S.A.,2025-08-13,49,131.6,6448.4,Pendiente
O-000019,BR-00001,P-000196,PR-00024,Alcolea y Granados S.L.N.E,2025-06-26,50,62.79,3139.5,En tránsito
O-000020,BR-00001,P-000198,PR-00025,Hotel Pol y asociados S.Com.,2025-08-05,53,35.71,1892.63,Recibido
O-000021,BR-00001,P-000199,PR-00025,Hotel Pol y asociados S.Com.,2025-08-14,86,102.63,8826.18,Pendiente
O-000022,BR-00001,P-000206,PR-01033,Reynaldo Riera Bauzà S.Com.,2025-06-28,94,142.79,13422.26,Pendiente
O-000023,BR-00001,P-000214,PR-00028,Hnos Cerdá S.A.,2025-06-30,47,149.7,7035.9,Pendiente
O-000024,BR-00001,P-000222,PR-00029,Bellido y Vazquez S.A.T.,2025-08-14,73,24.74,1806.02,En tránsito
O-000025,BR-00001,P-000223,PR-00030,María Fernández Calvo S.C.P,2025-08-22,90,109.85,9886.5,Pendiente
O-000026,BR-00001,P-000232,PR-00032,Oller & Asociados S.A.,2025-07-17,97,3.3,320.1,Pendiente
O-000027,BR-00002,P-000245,PR-00044,Jorge Bermejo Oliva S.A.,2025-07-01,74,102.61,7593.14,En tránsito
O-000028,BR-00002,P-000247,PR-00045,Evaristo Ramis Olivares S.Com.,2025-07-25,74,46.96,3475.04,Pendiente
O-000029,BR-00002,P-000259,PR-01097,Geraldo Verdejo Ávila S.C.P,2025-07-13,68,50.21,3414.28,En tránsito
O-000030,BR-00002,P-000272,PR-01271,Hermanos Tovar S.A.T.,2025-06-30,96,6.65,638.4,Recibido
O-000031,BR-00002,P-000291,PR-00723,Talleres XL S.Com.,2025-06-28,75,45.14,3385.5,Recibido
O-000032,BR-00002,P-000297,PR-00853,Ballesteros y Soler S.L.U.,2025-08-22,79,117.79,9305.41,Pendiente
O-000033,BR-00002,P-000301,PR-00008,Suministros Solano S.L.N.E,2025-07-07,47,55.4,2603.8,En tránsito
O-000034,BR-00002,P-000333,PR-00014,Minería Palma S.Coop.,2025-06-27,75,148.66,11149.5,Recibido
O-000035,BR-00002,P-000334,PR-00014,Minería Palma S.Coop.,2025-07-03,53,7.88,417.64,En tránsito
O-000036,BR-00002,P-000335,PR-01216,Fuster y Sureda S.A.,2025-06-29,36,47.57,1712.52,Pendiente
O-000037,BR-00002,P-000340,PR-00015,Lastra y Alonso S.Coop.,2025-06-25,32,103.09,3298.88,En tránsito
O-000038,BR-00002,P-000344,PR-00919,Banca Privada AZP S.L.N.E,2025-07-23,32,92.22,2951.04,Pendiente
