purchase_id,product_id,cantidad,precio_unitario,subtotal
C-000001,P-006598,4,25.42,101.68
C-000001,P-015636,2,32.42,64.84
C-000001,P-044108,1,132.69,132.69
C-000001,P-038095,1,125.72,125.72
C-000002,P-003870,2,109.88,219.76
C-000002,P-051398,2,121.88,243.76
C-000002,P-050454,2,8.09,16.18
C-000003,P-029433,1,60.21,60.21
C-000003,P-046611,3,24.93,74.79
C-000003,P-053074,5,99.75,498.75
C-000003,P-021860,4,79.28,317.12
C-000003,P-029124,5,134.13,670.65
C-000004,P-036403,5,118.64,593.2
C-000005,P-050775,4,128.77,515.08
C-000005,P-051186,3,65.94,197.82
C-000005,P-021557,3,23.83,71.49
C-000005,P-046100,2,31.0,62.0
C-000005,P-007387,3,8.6,25.8
C-000006,P-019256,4,16.34,65.36
C-000006,P-028457,5,89.42,447.1
C-000006,P-049980,2,96.25,192.5
C-000007,P-027881,3,94.14,282.42
C-000007,P-019746,4,76.58,306.32
C-000007,P-043127,3,4.15,12.45
C-000008,P-046594,4,129.89,519.56
C-000008,P-040389,5,96.03,480.15
C-000009,P-030259,4,113.64,454.56
C-000009,P-038262,4,57.93,231.72
C-000009,P-014601,4,130.66,522.64
C-000010,P-033002,5,143.56,717.8
C-000011,P-019592,1,77.08,77.08
C-000012,P-004664,1,42.99,42.99
C-000013,P-025312,2,2.63,5.26
C-000013,P-000027,4,51.82,207.28
C-000013,P-027513,5,21.7,108.5
C-000014,P-040998,1,122.77,122.77
C-000014,P-000334,3,7.49,22.47
C-000015,P-051069,1,136.74,136.74
C-000015,P-000400,3,75.13,225.39
C-000016,P-040472,3,11.73,35.19
C-000016,P-006204,2,138.05,276.1
C-000016,P-025129,5,28.54,142.7
C-000016,P-002923,5,53.25,266.25
C-000016,P-032589,4,126.23,504.92
C-000017,P-017989,2,98.51,197.02
C-000017,P-043391,4,17.29,69.16
C-000017,P-027187,5,97.54,487.7
C-000017,P-041663,1,99.13,99.13
C-000017,P-046345,1,95.18,95.18
C-000018,P-000495,1,98.0,98.0
C-000018,P-037212,2,96.36,192.72
C-000018,P-020218,1,135.25,135.25
C-000018,P-041239,1,53.17,53.17
C-000018,P-013062,2,134.18,268.36
C-000019,P-009758,4,46.6,186.4
C-000019,P-013371,1,115.76,115.76
C-000020,P-048982,1,7.57,7.57
C-000020,P-045309,5,101.78,508.9
C-000020,P-018208,2,4.27,8.54
