devolucion_id,venta_id,client_id,entrega_id,product_id,provider_id,branch_id,employee_id,fecha_devolucion,motivo,estado
DV-00001,C-000713,CL-07882,ET-00713,P-023318,PR-00249,BR-00021,E-000825,2025-03-31,Error en el pedido,Procesada
DV-00002,C-000241,CL-00954,ET-00241,P-028383,PR-00328,BR-00257,E-006909,2025-03-07,No coincide con la descripción,Pendiente
DV-00003,C-001961,CL-06646,ET-01961,P-028480,PR-00318,BR-00258,E-006918,2025-07-29,Retraso en la entrega,Pendiente
DV-00004,C-001446,CL-01375,ET-01446,P-015889,PR-00150,BR-00153,E-004019,2025-07-24,Vencido o caducado,Rechazada
DV-00005,C-001758,CL-04963,ET-01758,P-048661,PR-00936,BR-00441,E-011718,2025-07-11,Problema con el embalaje,Pendiente
DV-00006,C-003252,CL-05616,ET-03252,P-000045,PR-00037,BR-00493,E-012828,2025-04-07,Pedido duplicado,Pendiente
DV-00007,C-002276,CL-09790,ET-02276,P-010361,PR-00137,BR-00357,E-009661,2025-08-05,No funciona correctamente,Procesada
DV-00008,C-002656,CL-00965,ET-02656,P-049329,PR-00624,BR-00318,E-008639,2025-03-31,Tamaño incorrecto,Pendiente
DV-00009,C-003217,CL-00871,ET-03217,P-008814,PR-00124,BR-00308,E-008270,2025-04-17,Problema con el embalaje,Rechazada
DV-00010,C-000999,CL-01435,ET-00999,P-036492,PR-00410,BR-00105,E-002921,2025-03-10,Cliente no lo reconoce,Pendiente
DV-00011,C-000189,CL-07817,ET-00189,P-042809,PR-00517,BR-00040,E-001293,2025-05-19,Retraso en la entrega,Procesada
DV-00012,C-004092,CL-07910,ET-04092,P-008541,PR-00117,BR-00190,E-005002,2025-07-24,Problema con el embalaje,Pendiente
DV-00013,C-002693,CL-08269,ET-02693,P-043604,PR-00505,BR-00130,E-003724,2025-08-16,Error en el pedido,Pendiente
DV-00014,C-000020,CL-00037,ET-00020,P-018208,PR-01462,BR-00194,E-005351,2025-05-30,Problema con el embalaje,Pendiente
DV-00015,C-003507,CL-00883,ET-03507,P-009110,PR-00134,BR-00223,E-005958,2025-04-08,Recibí otro artículo,Pendiente
DV-00016,C-000652,CL-07064,ET-00652,P-032654,PR-00375,BR-00077,E-002056,2025-05-01,Vencido o caducado,Pendiente
DV-00017,C-004961,CL-07531,ET-04961,P-005204,PR-01467,BR-00243,E-006721,2025-04-15,Calidad inferior a lo esperado,Pendiente
DV-00018,C-000704,CL-08208,ET-00704,P-024962,PR-00272,BR-00228,E-005999,2025-08-03,Calidad inferior a lo esperado,Rechazada
