inventory_id,branch_id,product_id,stock_actual,stock_minimo,fecha_ingreso,fecha_actualizacion,estado
I-000001,BR-00001,P-000001,64,15,2025-06-27,2025-08-17,Disponible
I-000002,BR-00001,P-000002,31,9,2025-03-12,2025-05-04,Disponible
I-000003,BR-00001,P-000003,88,19,2025-07-04,2025-07-22,Disponible
I-000004,BR-00001,P-000004,55,8,2025-04-24,2025-06-20,Disponible
I-000005,BR-00001,P-000005,77,8,2025-04-06,2025-07-28,Disponible
I-000006,BR-00001,P-000006,14,13,2025-07-22,2025-08-05,Disponible
I-000007,BR-00001,P-000007,29,18,2025-04-08,2025-06-19,Disponible
I-000008,BR-00001,P-000008,25,16,2025-04-28,2025-06-27,Disponible
I-000009,BR-00001,P-000009,53,16,2025-06-03,2025-06-18,Disponible
I-000010,BR-00001,P-000010,40,10,2025-03-28,2025-04-17,Disponible
I-000011,BR-00001,P-000011,24,9,2025-03-16,2025-04-02,Disponible
I-000012,BR-00001,P-000012,98,5,2025-05-23,2025-07-15,Disponible
I-000013,BR-00001,P-000013,93,16,2025-06-15,2025-07-16,Disponible
I-000014,BR-00001,P-000014,58,13,2025-05-18,2025-06-26,Disponible
I-000015,BR-00001,P-000015,45,19,2025-04-17,2025-07-20,Disponible
I-000016,BR-00001,P-000016,5,16,2025-07-15,2025-07-17,Bajo stock
I-000017,BR-00001,P-000017,10,16,2025-07-11,2025-08-21,Bajo stock
I-000018,BR-00001,P-000018,44,5,2025-04-28,2025-07-26,Disponible
I-000019,BR-00001,P-000019,41,6,2025-06-10,2025-08-07,Disponible
I-000020,BR-00001,P-000020,89,16,2025-06-24,2025-07-15,Disponible
I-000021,BR-00001,P-000021,49,11,2025-02-27,2025-05-02,Disponible
I-000022,BR-00001,P-000022,59,14,2025-03-21,2025-03-31,Disponible
I-000023,BR-00001,P-000023,81,15,2025-04-02,2025-05-31,Disponible
I-000024,BR-00001,P-000024,45,20,2025-07-08,2025-08-17,Disponible
I-000025,BR-00001,P-000025,34,18,2025-04-18,2025-06-16,Disponible
I-000026,BR-00001,P-000026,4,13,2025-05-14,2025-08-21,Bajo stock
I-000027,BR-00001,P-000027,82,18,2025-07-05,2025-08-18,Disponible
I-000028,BR-00001,P-000028,19,18,2025-05-05,2025-08-14,Disponible
I-000029,BR-00001,P-000029,99,16,2025-02-27,2025-07-16,Disponible
I-000030,BR-00001,P-000030,2,5,2025-05-05,2025-07-29,Bajo stock
I-000031,BR-00001,P-000031,37,7,2025-05-18,2025-06-09,Disponible
I-000032,BR-00001,P-000032,100,13,2025-02-27,2025-05-03,Disponible
I-000033,BR-00001,P-000033,62,13,2025-03-18,2025-04-03,Disponible
I-000034,BR-00001,P-000034,68,6,2025-07-14,2025-07-22,Disponible
I-000035,BR-00001,P-000035,4,20,2025-05-25,2025-08-08,Bajo stock
I-000036,BR-00001,P-000036,74,18,2025-05-01,2025-07-01,Disponible
I-000037,BR-00001,P-000037,34,16,2025-03-25,2025-07-17,Disponible
I-000038,BR-00001,P-000038,65,6,2025-03-21,2025-07-18,Disponible
I-000039,BR-00001,P-000039,69,9,2025-07-22,2025-08-01,Disponible
I-000040,BR-00001,P-000040,42,19,2025-04-19,2025-07-31,Disponible
I-000041,BR-00001,P-000041,70,19,2025-04-28,2025-08-14,Disponible
I-000042,BR-00001,P-000042,20,6,2025-06-25,2025-07-17,Disponible
I-000043,BR-00001,P-000043,67,11,2025-07-07,2025-08-11,Disponible
I-000044,BR-00001,P-000044,68,7,2025-07-21,2025-08-02,Disponible
I-000045,BR-00001,P-000045,79,9,2025-04-09,2025-07-23,Disponible
I-000046,BR-00001,P-000046,37,14,2025-04-18,2025-08-12,Disponible
I-000047,BR-00001,P-000047,67,5,2025-07-03,2025-07-24,Disponible
I-000048,BR-00001,P-000048,19,16,2025-04-14,2025-08-04,Disponible
I-000049,BR-00001,P-000049,11,12,2025-03-09,2025-08-11,Bajo stock
I-000050,BR-00001,P-000050,58,15,2025-04-17,2025-05-28,Disponible
I-000051,BR-00001,P-000051,44,10,2025-05-06,2025-08-14,Disponible
I-000052,BR-00001,P-000052,97,19,2025-05-25,2025-06-07,Disponible
I-000053,BR-00001,P-000053,97,17,2025-03-10,2025-08-22,Disponible
I-000054,BR-00001,P-000054,21,9,2025-03-30,2025-06-18,Disponible
I-000055,BR-00001,P-000055,90,20,2025-05-01,2025-05-02,Disponible
I-000056,BR-00001,P-000056,76,15,2025-06-27,2025-07-01,Disponible
I-000057,BR-00001,P-000057,76,8,2025-04-05,2025-05-07,Disponible
I-000058,BR-00001,P-000058,79,7,2025-05-08,2025-08-11,Disponible
I-000059,BR-00001,P-000059,93,19,2025-05-14,2025-05-19,Disponible
I-000060,BR-00001,P-000060,36,16,2025-05-16,2025-07-12,Disponible
I-000061,BR-00001,P-000061,97,16,2025-07-04,2025-08-18,Disponible
I-000062,BR-00001,P-000062,95,6,2025-05-25,2025-06-13,Disponible
I-000063,BR-00001,P-000063,49,7,2025-04-02,2025-07-15,Disponible
I-000064,BR-00001,P-000064,1,6,2025-07-18,2025-08-20,Bajo stock
I-000065,BR-00001,P-000065,38,11,2025-06-08,2025-08-11,Disponible
I-000066,BR-00001,P-000066,40,16,2025-06-24,2025-08-08,Disponible
I-000067,BR-00001,P-000067,95,8,2025-03-01,2025-07-27,Disponible
I-000068,BR-00001,P-000068,76,16,2025-02-26,2025-04-18,Disponible
I-000069,BR-00001,P-000069,47,18,2025-06-30,2025-07-17,Disponible
I-000070,BR-00001,P-000070,70,14,2025-02-25,2025-03-08,Disponible
I-000071,BR-00001,P-000071,84,14,2025-06-02,2025-06-11,Disponible
I-000072,BR-00001,P-000072,2,19,2025-06-17,2025-07-01,Bajo stock
I-000073,BR-00001,P-000073,30,9,2025-03-15,2025-04-12,Disponible
I-000074,BR-00001,P-000074,28,13,2025-07-03,2025-07-06,Disponible
I-000075,BR-00001,P-000075,77,19,2025-05-28,2025-06-22,Disponible
I-000076,BR-00001,P-000076,10,16,2025-05-27,2025-08-08,Bajo stock
I-000077,BR-00001,P-000077,94,11,2025-05-23,2025-06-25,Disponible
I-000078,BR-00001,P-000078,65,11,2025-05-08,2025-08-13,Disponible
I-000079,BR-00001,P-000079,75,5,2025-04-08,2025-05-29,Disponible
I-000080,BR-00001,P-000080,41,13,2025-06-01,2025-07-04,Disponible
I-000081,BR-00001,P-000081,37,7,2025-04-10,2025-08-05,Disponible
I-000082,BR-00001,P-000082,78,6,2025-05-10,2025-06-19,Disponible
I-000083,BR-00001,P-000083,3,20,2025-07-13,2025-07-20,Bajo stock
I-000084,BR-00001,P-000084,30,6,2025-05-08,2025-07-15,Disponible
I-000085,BR-00001,P-000085,99,13,2025-03-08,2025-04-17,Disponible
I-000086,BR-00001,P-000086,40,7,2025-04-30,2025-06-20,Disponible
I-000087,BR-00001,P-000087,40,11,2025-05-21,2025-06-01,Disponible
I-000088,BR-00001,P-000088,52,19,2025-03-09,2025-07-25,Disponible
I-000089,BR-00001,P-000089,15,8,2025-03-16,2025-03-16,Disponible
I-000090,BR-00001,P-000090,11,16,2025-04-24,2025-05-27,Bajo stock
I-000091,BR-00001,P-000091,2,12,2025-06-26,2025-07-11,Bajo stock
I-000092,BR-00001,P-000092,36,16,2025-07-20,2025-07-21,Disponible
I-000093,BR-00001,P-000093,69,16,2025-06-09,2025-07-07,Disponible
I-000094,BR-00001,P-000094,76,18,2025-06-22,2025-07-15,Disponible
I-000095,BR-00001,P-000095,29,13,2025-03-26,2025-06-30,Disponible
I-000096,BR-00001,P-000096,3,11,2025-06-19,2025-06-30,Bajo stock
I-000097,BR-00001,P-000097,67,8,2025-03-10,2025-07-30,Disponible
I-000098,BR-00001,P-000098,8,15,2025-04-18,2025-07-20,Bajo stock
I-000099,BR-00001,P-000099,78,9,2025-05-02,2025-05-09,Disponible
I-000100,BR-00001,P-000100,65,11,2025-05-02,2025-08-14,Disponible
I-000101,BR-00001,P-000101,65,14,2025-05-01,2025-08-01,Disponible
I-000102,BR-00001,P-000102,93,10,2025-07-22,2025-08-22,Disponible
I-000103,BR-00001,P-000103,67,18,2025-07-13,2025-07-28,Disponible
I-000104,BR-00001,P-000104,18,18,2025-04-17,2025-04-27,Bajo stock
I-000105,BR-00001,P-000105,59,15,2025-07-06,2025-08-04,Disponible
I-000106,BR-00001,P-000106,98,5,2025-04-07,2025-07-24,Disponible
I-000107,BR-00001,P-000107,28,7,2025-04-26,2025-08-01,Disponible
I-000108,BR-00001,P-000108,91,11,2025-04-10,2025-05-13,Disponible
I-000109,BR-00001,P-000109,66,11,2025-07-15,2025-07-26,Disponible
I-000110,BR-00001,P-000110,6,11,2025-05-27,2025-07-15,Bajo stock
I-000111,BR-00001,P-000111,87,13,2025-07-22,2025-07-27,Disponible
I-000112,BR-00001,P-000112,95,10,2025-05-12,2025-08-15,Disponible
I-000113,BR-00001,P-000113,20,19,2025-04-22,2025-08-12,Disponible
I-000114,BR-00001,P-000114,69,12,2025-03-09,2025-07-25,Disponible
I-000115,BR-00001,P-000115,10,15,2025-06-27,2025-06-30,Bajo stock
I-000116,BR-00001,P-000116,100,9,2025-07-06,2025-07-31,Disponible
I-000117,BR-00001,P-000117,17,19,2025-06-17,2025-07-21,Bajo stock
I-000118,BR-00001,P-000118,19,6,2025-03-26,2025-08-05,Disponible
I-000119,BR-00001,P-000119,58,8,2025-04-12,2025-08-03,Disponible
I-000120,BR-00001,P-000120,11,18,2025-03-04,2025-06-23,Bajo stock
I-000121,BR-00001,P-000121,48,19,2025-05-14,2025-06-20,Disponible
