pago_id,order_id,provider_id,provider_name,fecha_orden,condicion_pago,fecha_vencimiento,fecha_pago,monto_total,estado_pago
PP-000001,O-000001,PR-00045,Marco y Saez S.L.L.,2025-07-30,90 días,2025-10-28,2025-08-29,1878.8,Pagado
PP-000002,O-000002,PR-01267,Alimentación Internacionales S.Com.,2025-07-02,60 días,2025-08-31,,1715.4,Pendiente
PP-000003,O-000003,PR-00047,Familia Mateo S.L.U.,2025-07-11,90 días,2025-10-09,2025-08-11,4706.64,Pagado
PP-000004,O-000004,PR-00664,Inversiones Echeverría & Asociados S.L.N.E,2025-07-28,90 días,2025-10-26,,5239.4,Pendiente
PP-000005,O-000005,PR-00664,Inversiones Echeverría & Asociados S.L.N.E,2025-08-05,90 días,2025-11-03,2025-08-18,4368.96,Pagado
PP-000006,O-000006,PR-00035,Narváez & Asociados S.Com.,2025-06-24,90 días,2025-09-22,,6910.86,Pendiente
PP-000007,O-000007,PR-00036,Mohamed Cuesta Torrents S.Coop.,2025-07-25,90 días,2025-10-23,2025-07-25,3311.62,Pagado
PP-000008,O-000008,PR-00036,Mohamed Cuesta Torrents S.Coop.,2025-07-21,90 días,2025-10-19,,7870.4,Pendiente
PP-000009,O-000009,PR-00815,Industrias del Sur S.L.N.E,2025-08-04,60 días,2025-10-03,,5668.2,Pendiente
PP-000010,O-000010,PR-00815,Industrias del Sur S.L.N.E,2025-06-27,60 días,2025-08-26,,7334.6,Pendiente
PP-000011,O-000011,PR-00007,Farmaceútica Iberia S.Coop.,2025-08-06,90 días,2025-11-04,,6825.5,Pendiente
PP-000012,O-000012,PR-01031,Infraestructuras Aramburu & Asociados S.Com.,2025-07-26,90 días,2025-10-24,2025-10-10,2409.73,Pagado
PP-000013,O-000013,PR-00010,Eduardo Manso Soler S.L.U.,2025-07-15,90 días,2025-10-13,,13066.69,Pendiente
PP-000014,O-000014,PR-00011,Instalaciones YY S.Coop.,2025-07-19,90 días,2025-10-17,,2298.6,Pendiente
PP-000015,O-000015,PR-00011,Instalaciones YY S.Coop.,2025-07-13,90 días,2025-10-11,,6127.39,Pendiente
PP-000016,O-000016,PR-00716,Distribuciones XZBK S.A.,2025-08-17,90 días,2025-11-15,,3664.8,Pendiente
PP-000017,O-000017,PR-00014,Comercial Hierro S.L.,2025-07-10,30 días,2025-08-09,2025-07-12,1752.18,Pagado
PP-000018,O-000018,PR-00015,Servicios Sanmartín S.L.N.E,2025-07-04,90 días,2025-10-02,,3542.25,Pendiente
PP-000019,O-000019,PR-01076,Poza & Asociados S.A.,2025-07-23,90 días,2025-10-21,,2902.77,Pendiente
PP-000020,O-000020,PR-00038,Marín y Figuerola S.Coop.,2025-07-10,30 días,2025-08-09,2025-07-27,1993.32,Pagado
PP-000021,O-000021,PR-00039,Fábrica QLS S.Coop.,2025-08-07,60 días,2025-10-06,,7769.27,Pendiente
PP-000022,O-000022,PR-00040,Familia Cánovas S.L.,2025-07-04,90 días,2025-10-02,2025-07-19,3394.95,Pagado
PP-000023,O-000023,PR-00040,Familia Cánovas S.L.,2025-06-24,90 días,2025-09-22,,3106.35,Pendiente
PP-000024,O-000024,PR-00040,Familia Cánovas S.L.,2025-08-07,90 días,2025-11-05,,840.15,Pendiente
PP-000025,O-000025,PR-00626,Mariño & Asociados S.A.,2025-07-09,60 días,2025-09-07,,5796.72,Pendiente
PP-000026,O-000026,PR-01460,Tecnologías Pinilla & Asociados S.L.N.E,2025-06-27,90 días,2025-09-25,,365.47,Pendiente
PP-000027,O-000027,PR-01109,Soluciones Jódar y asociados S.A.,2025-08-12,60 días,2025-10-11,,13035.75,Pendiente
PP-000028,O-000028,PR-00019,Construcción Baró S.Com.,2025-07-12,60 días,2025-09-10,2025-08-06,9132.92,Pagado
PP-000029,O-000029,PR-01427,Nadal y asociados S.A.U,2025-06-24,30 días,2025-07-24,2025-07-17,672.8,Pagado
PP-000030,O-000030,PR-00002,Banca Privada del Noroeste S.A.,2025-06-27,90 días,2025-09-25,2025-08-20,10521.22,Pagado
PP-000031,O-000031,PR-00660,Comercializadora Inteligentes S.Com.,2025-06-28,90 días,2025-09-26,,6033.28,Pendiente
PP-000032,O-000032,PR-00775,Fajardo y asociados S.L.N.E,2025-08-18,30 días,2025-09-17,2025-09-05,12041.58,Pagado
PP-000033,O-000033,PR-00885,Manufacturas Mayol S.A.,2025-08-21,60 días,2025-10-20,2025-10-07,7553.84,Pagado
PP-000034,O-000034,PR-00021,Tecnologías ZKZ S.A.,2025-07-19,90 días,2025-10-17,,10069.02,Pendiente
PP-000035,O-000035,PR-01156,Industrias Castellana S.C.P,2025-08-02,Contado,2025-08-02,2025-08-02,1053.0,Pagado
PP-000036,O-000036,PR-00652,Hermanos Bermúdez S.Coop.,2025-06-28,30 días,2025-07-28,,8238.87,Retrasado
PP-000037,O-000037,PR-00652,Hermanos Bermúdez S.Coop.,2025-07-13,30 días,2025-08-12,2025-08-04,1444.17,Pagado
PP-000038,O-000038,PR-00027,Hermanos Uriarte S.A.T.,2025-08-06,60 días,2025-10-05,,11104.55,Pendiente
PP-000039,O-000039,PR-00029,Hermanos Céspedes S.L.,2025-07-17,90 días,2025-10-15,,717.46,Pendiente
