provider_id,name,nif,email,phone,country,city,address,category,subcategory,condicion_pago
PR-00001,Pereira y Exposito S.A.,B89472579,fabioolive@example.net,+1-809 634876244,Dominican Republic,Punta Cana,"Alameda Georgina Vázquez 8, Valencia, 37525",Tecnología,Software,30 días
PR-00002,Comercializadora Santamaría y asociados S.Com.,F85389816,bustosetelvina@example.org,+1-809 627839712,Dominican Republic,Punta Cana,"Camino de Bernardino Saura 2, Valladolid, 25158",Tecnología,Hardware,90 días
PR-00003,Familia Bernal S.L.,U68777219,ripollamilcar@example.net,+1-809 648153231,Dominican Republic,Punta Cana,"C. de Nicanor Belmonte 28 Apt. 49 , Zamora, 11266",Tecnología,Redes,60 días
PR-00004,Rico & Asociados S.L.N.E,D28337736,chamorroevelia@example.org,+1-809 631511754,Dominican Republic,Punta Cana,"Pasaje de Ana Ríos 48 Apt. 68 , Sevilla, 45345",Tecnología,Ciberseguridad,60 días
PR-00005,Hotel Rosales y asociados S.Com.,A68145744,cayetana05@example.net,+1-809 691399816,Dominican Republic,Punta Cana,"Pasadizo Pastora Bonilla 88 Piso 8 , Soria, 01880",Tecnología,IoT,90 días
PR-00006,Inmobiliaria Antúnez & Asociados S.Coop.,G76986418,imerino@example.com,+1-809 654651440,Dominican Republic,Punta Cana,"Ronda Inocencio Sarmiento 41 Piso 1 , Guipúzcoa, 50983",Alimentos,Frutas y Verduras,90 días
PR-00007,Restauración Martínez & Asociados S.L.,F14580054,ponttere@example.com,+1-809 604421177,Dominican Republic,Punta Cana,"Ronda de María Pilar Rico 29, La Rioja, 21612",Alimentos,Carnes y Embutidos,30 días
PR-00008,Suministros Solano S.L.N.E,P28758677,qacosta@example.org,+1-809 662173740,Dominican Republic,Punta Cana,"Glorieta Marcio Huerta 99, Toledo, 09145",Alimentos,Bebidas,60 días
PR-00009,Distribuciones HF S.L.,U29748341,parrazaida@example.net,+1-809 615035046,Dominican Republic,Punta Cana,"Avenida Encarnita Jordán 26 Piso 0 , Córdoba, 01897",Alimentos,Panadería,30 días
PR-00010,Familia Abad S.L.N.E,R96271417,cleto77@example.net,+1-809 666002225,Dominican Republic,Punta Cana,"Ronda Sonia Vera 197, Ceuta, 23847",Alimentos,Comida Congelada,90 días
