provider_id,name,nif,email,phone,country,city,address
PR-00001,"Cannon, Gonzalez and Peters",V82405573,ian61@example.org,+34 668105716,España,Sevilla,"2598 Salas Keys
South Joel, FM 01618"
PR-00002,Campos and Sons,P21697211,sean41@example.com,+33 618597472,Francia,Lyon,"224 Thomas Keys Apt. 046
South Timothymouth, NM 92106"
PR-00003,"Stewart, Gregory and Ford",B30456798,ncortez@example.net,+81 609216925,Japón,Yokohama,"PSC 9960, Box 2740
APO AA 13183"
PR-00004,"Peterson, Stephenson and Becker",W53964296,wagnerrandall@example.com,+81 604182319,Japón,Osaka,"7691 Newman Locks Suite 235
North Andrew, AL 82195"
PR-00005,Harris-Cole,J58797274,timothybrown@example.com,+39 625861351,Italia,Nápoles,"264 Day Manor
Erinside, AK 60549"
PR-00006,Fuentes-Phillips,C23889552,johnnythompson@example.org,+81 605968417,Japón,Yokohama,"71208 Sharp Points
Davidville, MO 10817"
PR-00007,Hall Group,H59714141,calvinestrada@example.net,+52 616258111,México,Cancún,"61436 Jackson Plaza
Jonestown, SD 43518"
PR-00008,Johnson-Richards,A82176924,juanchen@example.net,+7 664417201,Rusia,Nizhni Nóvgorod,"221 Harris Way
North Eric, VI 60768"
PR-00009,Key Ltd,D52738890,aaron77@example.org,+33 672691190,Francia,Marsella,"7588 Torres Mountain
Lake Sarahfort, OR 68231"
PR-00010,Meadows-Jones,H95436301,mbowen@example.net,+81 663926066,Japón,Tokio,"683 Smith Dale Apt. 118
Lake Kelly, MT 22184"
PR-00011,"Luna, Huffman and Smith",D58233344,jacqueline33@example.org,+49 649730015,Alemania,Berlín,"766 Jason Port
Jerrymouth, NM 10239"
PR-00012,Wright-Ortega,N51161609,mariaanderson@example.com,+34 606601331,España,Madrid,"324 Derrick Port Apt. 449
Nicholasmouth, CA 94225"
PR-00013,"Simpson, Brown and Walker",R13734527,michaela03@example.org,+33 655267114,Francia,Lyon,"340 Torres Forest
New Melissa, VI 17858"
PR-00014,Palmer PLC,S47751561,erica32@example.com,+52 626008979,México,Ciudad de México,"982 Hannah Lodge Suite 506
Melodyville, ND 25073"
PR-00015,Gould LLC,W66772297,kevinvargas@example.com,+34 615589250,España,Valencia,"3545 Brooke Walks Apt. 476
Lake Maria, NM 79640"
