fidelizacion_id,client_id,nivel,puntos_acumulados,beneficios,fecha_ultima_actividad
FD-00001,CL-00001,Bronce,3270,5% descuento en snacks,2025-07-08
FD-00002,CL-00002,Bronce,3186,5% descuento en snacks,2025-08-22
FD-00003,CL-00003,Plata,3659,10% en bebidas y envíos gratis,2025-07-06
FD-00004,CL-00004,Bronce,1643,5% descuento en snacks,2025-08-17
FD-00005,CL-00005,Plata,1004,10% en bebidas y envíos gratis,2025-06-01
FD-00006,CL-00006,Oro,3634,15% en todo + acceso anticipado,2025-07-05
FD-00007,CL-00007,Plata,4298,10% en bebidas y envíos gratis,2025-06-12
FD-00008,CL-00008,Oro,4191,15% en todo + acceso anticipado,2025-06-20
FD-00009,CL-00009,Bronce,868,5% descuento en snacks,2025-06-24
FD-00010,CL-00010,Oro,1900,15% en todo + acceso anticipado,2025-05-29
FD-00011,CL-00011,Platino,3629,20% en todo + regalos exclusivos,2025-05-28
FD-00012,CL-00012,Bronce,4894,5% descuento en snacks,2025-07-22
FD-00013,CL-00013,Bronce,3706,5% descuento en snacks,2025-06-30
FD-00014,CL-00014,Oro,4779,15% en todo + acceso anticipado,2025-06-09
FD-00015,CL-00015,Bronce,4545,5% descuento en snacks,2025-08-05
FD-00016,CL-00016,Bronce,3865,5% descuento en snacks,2025-07-23
FD-00017,CL-00017,Bronce,2450,5% descuento en snacks,2025-06-04
FD-00018,CL-00018,Platino,3160,20% en todo + regalos exclusivos,2025-07-17
FD-00019,CL-00019,Oro,4572,15% en todo + acceso anticipado,2025-06-22
FD-00020,CL-00020,Bronce,1736,5% descuento en snacks,2025-06-02
FD-00021,CL-00021,Plata,2160,10% en bebidas y envíos gratis,2025-06-13
FD-00022,CL-00022,Plata,2935,10% en bebidas y envíos gratis,2025-07-07
FD-00023,CL-00023,Bronce,4234,5% descuento en snacks,2025-07-26
FD-00024,CL-00024,Plata,2776,10% en bebidas y envíos gratis,2025-06-16
FD-00025,CL-00025,Bronce,1660,5% descuento en snacks,2025-07-12
FD-00026,CL-00026,Bronce,4654,5% descuento en snacks,2025-05-29
FD-00027,CL-00027,Plata,2924,10% en bebidas y envíos gratis,2025-06-12
FD-00028,CL-00028,Bronce,3854,5% descuento en snacks,2025-06-19
FD-00029,CL-00029,Plata,4900,10% en bebidas y envíos gratis,2025-07-08
FD-00030,CL-00030,Plata,1542,10% en bebidas y envíos gratis,2025-06-05
FD-00031,CL-00031,Oro,1755,15% en todo + acceso anticipado,2025-06-19
FD-00032,CL-00032,Bronce,294,5% descuento en snacks,2025-06-23
FD-00033,CL-00033,Plata,1898,10% en bebidas y envíos gratis,2025-08-18
FD-00034,CL-00034,Bronce,2469,5% descuento en snacks,2025-06-30
FD-00035,CL-00035,Plata,1442,10% en bebidas y envíos gratis,2025-08-19
FD-00036,CL-00036,Oro,2770,15% en todo + acceso anticipado,2025-08-21
